genome	contig	PepM	Ppd	Pdh	MpnS	PgiL
AG-457-K17	8	1	0	0	0	0
AG-457-M22	5	1	1	1	1	0
AG-457-O04	7	1	1	0	0	0
AG-461-A07	1	1	1	1	0	1
AG-461-A21	3	1	1	1	0	0
AG-461-B16	17	1	1	0	0	0
AG-461-E13	10	1	1	1	0	0
AG-461-F10	5	1	1	1	0	0
AG-461-L13	14	1	1	0	0	0
AG-461-M06	26	1	0	0	0	0
AG-461-N23	43	1	1	1	0	0
AG-461-O09	1	1	1	1	0	1
AG-464-C03	10	1	0	0	0	0
AG-464-C10	4	1	0	0	0	0
AG-464-C13	7	1	1	1	0	1
AG-464-F22	11	1	0	0	0	0
AG-464-G19	19	1	1	0	0	0
AG-464-I02	42	1	1	0	0	0
AG-464-I06	31	1	1	1	0	0
AG-464-I13	8	1	1	1	0	0
AG-464-I16	4	1	0	1	0	0
AG-464-K11	1	1	1	0	0	0
AG-464-K18	2	1	1	1	0	0
AG-464-L09	4	1	1	0	0	0
AG-464-N18	3	1	0	0	0	0
AG-464-O15	1	1	0	0	0	0
AG-464-P05	16	1	0	1	0	0
AG-470-F08	20	1	1	1	0	0
AG-470-J19	3	1	1	0	0	0
AG-470-K09	38	1	1	0	0	0
AG-470-M18	39	1	0	1	0	0
AG-470-O10	1	1	1	1	0	0
AG-470-P06	27	1	1	0	0	0
AG-891-A17	3	1	1	0	0	1
AG-891-B04	23	1	1	1	0	0
AG-891-C19	1	1	1	1	0	0
AG-891-D10	3	1	1	1	1	0
AG-891-J07	1	1	1	2	0	1
AG-891-J16	7	1	1	1	1	0
AG-891-J17	24	1	1	0	1	0
AG-892-G02	27	1	0	0	0	0
AG-892-L10	7	1	1	1	0	0
AG-892-L17	6	1	1	1	1	0
AG-892-L19	15	1	1	1	0	0
AG-893-A03	3	1	1	1	0	0
AG-893-A15	10	1	0	1	1	0
AG-893-G16	8	1	1	1	0	0
AG-893-I20	20	1	1	0	0	0
AG-893-P05	2	1	1	1	0	1
AG-893-P10	4	1	1	1	0	0
AG-894-A09	1	2	1	1	0	1
AG-895-C22	11	1	1	0	0	1
AG-895-G06	41	1	0	1	0	0
AG-895-G06	44	0	1	0	0	0
AG-895-P20	4	1	1	1	0	0
AG-896-A11	27	1	1	0	0	0
AG-896-A21	1	1	1	0	0	0
AG-896-F06	1	1	1	3	0	1
AG-896-J02	14	1	0	0	0	0
AG-896-P03	43	1	1	0	0	0
AG-896-P11	6	1	1	1	1	0
AG-896-P20	14	1	1	1	0	0
AG-897-P16	31	1	1	0	0	0
AG-898-F21	17	1	1	1	1	0
AG-898-J11	19	1	1	1	0	0
AG-898-K21	11	1	0	0	0	1
AG-899-B02	2	1	1	0	0	0
AG-899-E08	29	1	0	0	0	0
AG-899-E14	3	1	1	1	1	0
AG-899-E17	22	0	1	1	0	0
AG-899-N03	17	1	1	1	1	0
AG-900-B23	23	0	1	1	0	0
AG-900-D23	2	1	1	1	1	0
AG-900-I09	1	1	1	1	0	0
AG-901-D09	1	1	1	1	0	0
AG-901-J10	7	1	1	0	0	1
AG-901-N02	34	1	0	0	0	0
AG-903-D04	3	1	1	1	0	0
AG-903-D13	7	1	1	1	0	0
AG-903-E09	8	1	1	1	1	0
AG-903-M03	6	1	1	1	1	0
AG-903-M09	2	1	1	1	0	1
AG-903-O07	4	1	1	1	1	0
AG-903-O08	1	1	1	1	1	0
AG-903-P01	8	1	1	1	0	0
AG-903-P17	1	1	1	1	0	1
AG-904-B18	15	0	1	1	0	0
AG-904-C10	14	1	1	0	0	0
AG-904-I05	2	1	1	1	0	0
AG-904-K23	1	1	1	1	1	0
AG-904-M23	11	1	1	1	0	0
AG-904-O08	30	1	1	1	1	0
AG-905-B19	6	1	1	1	0	0
AG-905-C11	2	0	1	0	0	1
AG-905-C11	8	1	0	0	0	0
AG-905-D17	6	1	1	0	0	1
AG-905-F16	7	1	0	1	0	0
AG-905-G02	1	1	0	0	0	1
AG-905-G02	21	0	1	1	0	0
AG-905-M05	2	1	1	0	1	1
AG-905-M18	1	1	1	0	0	1
AG-905-N17	5	1	1	1	1	0
AG-907-A11	2	1	1	1	1	0
AG-907-A13	3	1	1	0	0	0
AG-907-B09	4	1	1	1	0	1
AG-907-C04	2	1	1	1	0	1
AG-907-C16	24	1	1	1	1	0
AG-907-J14	1	1	1	1	0	0
AG-907-O23	9	1	1	1	1	0
AG-908-C04	4	1	1	1	1	0
AG-908-C20	1	1	1	0	1	0
AG-908-E17	10	1	1	1	0	0
AG-908-E21	2	1	1	1	1	0
AG-908-F08	4	1	1	0	0	0
AG-908-K15	14	2	2	0	0	0
AG-908-L09	40	1	0	0	0	0
AG-908-P08	13	1	1	1	1	0
AG-908-P13	1	1	1	1	0	0
AG-909-C05	4	1	1	1	1	0
AG-909-D09	19	0	1	0	0	0
AG-909-D09	21	1	0	0	0	0
AG-909-I15	20	1	0	0	0	0
AG-909-J05	37	1	0	0	0	0
AG-909-M13	1	1	1	1	0	1
AG-909-N17	18	0	1	0	0	0
AG-909-N17	27	1	0	0	0	0
AG-909-P17	9	1	1	1	1	0
AG-910-C08	15	1	1	0	0	0
AG-910-D18	3	1	1	1	0	0
AG-910-E13	1	1	1	1	2	0
AG-910-E21	28	1	1	0	1	0
AG-910-K19	14	1	0	0	0	0
AG-910-M21	10	1	1	1	0	0
AG-911-A02	6	1	1	1	1	0
AG-911-C04	7	1	1	1	0	0
AG-911-F11	10	1	1	0	0	0
AG-911-J20	3	1	1	1	0	1
AG-911-J21	2	1	1	1	1	0
AG-911-L17	4	1	1	1	1	0
AG-911-M09	10	1	0	0	0	0
AG-911-M11	26	1	0	0	0	0
AG-911-O15	2	1	1	1	1	0
AG-912-A04	5	1	1	1	1	1
AG-912-A14	28	1	1	1	0	0
AG-912-A22	2	1	1	0	0	0
AG-912-E17	17	1	1	0	0	0
AG-912-G23	6	1	0	0	0	0
AG-912-J06	1	1	1	1	0	0
AG-912-J18	2	1	1	1	0	0
AG-912-J20	29	1	1	0	0	0
AG-912-L10	4	1	1	1	0	0
AG-912-M05	6	0	1	0	0	0
AG-912-M05	26	1	0	0	0	0
AG-912-O07	30	1	1	1	0	0
AG-912-P06	6	1	1	1	0	0
AG-912-P09	11	1	1	1	0	0
AG-913-C18	12	1	1	1	1	0
AG-913-F04	14	1	1	1	0	0
AG-913-I14	4	1	1	0	0	0
AG-913-J19	4	1	0	0	0	1
AG-913-K07	1	1	1	1	1	0
AG-913-K21	16	1	1	1	0	0
AG-913-K22	11	1	1	1	1	0
AG-913-L07	3	1	1	1	0	0
AG-914-B06	12	1	1	1	0	0
AG-914-D21	1	1	1	1	0	1
AG-914-E14	2	1	1	0	0	0
AG-914-F06	15	1	1	0	0	0
AG-914-I03	17	1	1	0	0	0
AG-914-J07	3	1	1	1	0	0
AG-914-K18	24	1	1	0	0	0
AG-914-L03	6	1	1	1	0	1
AG-914-L04	7	1	1	0	0	0
AG-914-N05	3	0	1	0	0	0
AG-915-A06	4	1	1	1	0	0
AG-915-A08	4	1	1	1	0	1
AG-915-K07	22	1	1	1	0	0
AG-915-K17	1	1	1	1	0	0
AG-915-P07	31	1	1	1	1	0
AG-916-D14	11	0	1	1	0	0
AG-916-F19	23	1	1	1	0	0
AG-916-G19	1	2	1	1	0	1
AG-916-I05	3	1	1	1	0	0
AG-916-N21	1	1	1	1	0	0
AG-916-O23	21	1	1	1	0	0
AG-917-D03	19	1	0	0	0	0
AG-917-D14	5	1	1	1	0	0
AG-917-F06	10	1	1	1	0	0
AG-917-J20	13	1	1	0	0	0
AG-917-N17	7	1	1	1	0	0
AG-918-A19	1	1	1	1	0	1
AG-918-D20	23	0	1	0	0	1
AG-918-E13	17	1	1	1	0	0
AG-918-N15	12	1	1	1	0	0
AG-918-P15	5	1	1	1	0	0
AG-918-P15	14	1	0	0	0	0
AG-919-C22	36	1	0	0	0	0
AG-919-F04	24	1	0	1	0	0
AG-919-I15	31	1	1	0	0	0
AG-919-K05	23	1	1	1	0	0
AG-919-L19	2	1	1	1	0	1
AG-919-P07	3	1	1	1	0	0
AG-919-P18	16	1	1	1	0	0
AG-920-C13	37	1	1	0	0	0
AG-920-E18	1	1	1	1	0	1
AG-920-I07	12	1	1	1	0	0
AG-920-K09	6	1	1	0	0	0
AG-920-L03	13	1	1	1	0	0
AG-920-L11	12	1	1	1	0	0
AG-920-L18	1	1	1	1	0	0
AG-920-O15	9	1	1	1	0	0
AG-920-O20	4	1	1	1	0	0
AH-287-B06	14	1	1	0	0	0
AH-287-C13	2	1	1	0	1	0
AH-287-C20	25	1	1	1	0	0
AH-287-D15	1	1	1	0	0	1
AH-287-D22	19	1	1	1	0	0
AH-287-E04	16	1	1	0	0	0
AH-287-E22	14	1	0	1	0	0
AH-287-F17	5	1	1	0	0	0
AH-287-J04	16	0	1	0	0	1
AH-287-J04	27	1	0	0	0	0
AH-287-J18	8	1	0	1	0	1
AH-287-N21	13	1	0	0	0	0
AH-287-P14	1	1	1	1	0	0
AH-287-P23	9	1	1	1	0	0
AH-321-B05	1	1	1	1	0	0
AH-321-B21	5	1	1	1	1	0
AH-321-F10	19	1	1	0	0	0
AH-321-F16	17	1	1	1	0	0
AH-321-N19	5	0	1	1	0	0
AH-321-N19	17	1	0	0	0	0
AH-324-F06	11	1	1	1	1	0
AH-324-F14	1	1	1	1	1	0
AH-324-J22	4	2	1	1	0	0
AH-324-K11	13	1	0	0	0	0
AH-324-L09	1	1	1	0	0	1
AH-324-L13	7	1	0	1	0	0
AH-324-L17	3	1	1	1	1	0
AH-326-C23	39	1	1	0	0	0
AH-326-D11	7	1	1	1	1	0
AH-326-E21	19	1	0	0	0	0
AH-326-F06	9	1	1	0	0	0
AH-326-L15	37	1	1	0	1	0
AH-326-N02	5	1	1	0	0	0
AH-326-N03	12	1	1	1	0	0
AH-326-N23	8	1	1	1	1	0
