Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
AG-315-C22	Prochlorococcus (5)	18	730	228	39.29	0.03	0.00	751617	0	67	67	24860	24860	11218	11218	45761	45761	35.1	2.90	85.80	11	861	422	307	1	0	0	0
AG-315-D17	Prochlorococcus (5)	18	730	228	46.38	0.44	100.00	961065	0	56	56	26802	26802	17161	17161	73250	73250	35.1	2.10	85.98	11	1087	372	357	1	0	0	0
AG-315-I10	Prochlorococcus (5)	18	730	228	15.91	0.00	0.00	347214	0	20	20	26174	26174	17360	17360	51359	51359	34.2	2.30	87.76	11	349	600	130	0	0	0	0
AG-315-I14	Prochlorococcus (5)	18	730	228	48.11	0.00	0.00	851120	0	51	51	35032	35032	16688	16688	77372	77372	34.9	2.64	86.67	11	966	385	345	0	0	0	0
AG-315-J23	Prochlorococcus (5)	18	730	228	32.96	0.00	0.00	578346	0	36	36	56698	56698	16065	16065	79849	79849	35.2	2.46	90.33	11	656	483	247	0	0	0	0
AG-315-K21	Prochlorococcus (5)	18	730	228	31.99	0.00	0.00	593732	0	62	62	15880	15880	9576	9576	45766	45766	34.9	3.23	83.82	11	722	534	196	0	0	0	0
AG-315-L02	Prochlorococcus (5)	18	730	228	21.88	0.00	0.00	415004	0	31	31	18682	18682	13387	13387	61935	61935	34.9	2.69	86.11	11	515	545	185	0	0	0	0
AG-315-L09	Prochlorococcus (5)	18	730	228	11.68	0.00	0.00	304597	0	24	24	19589	19589	12691	12691	38609	38609	35.2	2.72	81.86	11	377	623	107	0	0	0	0
AG-315-M16	Prochlorococcus (5)	18	730	228	39.64	0.15	0.00	679565	0	42	42	28923	28923	16180	16180	124951	124951	34.8	2.27	87.83	11	760	458	271	1	0	0	0
AG-315-N18	Prochlorococcus (5)	18	730	228	47.17	0.07	100.00	874329	0	60	60	25870	25870	14572	14572	68732	68732	35.0	2.63	87.22	11	977	362	366	2	0	0	0
AG-315-O03	Prochlorococcus (5)	18	730	228	29.17	0.15	100.00	584193	0	46	46	24212	24212	12699	12699	61307	61307	34.4	2.20	84.02	11	709	499	230	1	0	0	0
AG-316-A05	Prochlorococcus (5)	18	730	228	6.98	0.00	0.00	220822	0	20	20	17770	17770	11041	11041	43415	43415	45.3	5.28	81.19	11	228	698	32	0	0	0	0
AG-316-G21	Prochlorococcus (5)	18	730	228	5.75	0.00	0.00	317236	0	22	22	21608	21608	14419	14419	68223	68223	46.0	4.93	82.16	11	356	698	32	0	0	0	0
AG-316-L16	Prochlorococcus (5)	18	730	228	23.55	0.29	50.00	793360	0	64	64	27308	27308	12396	12396	67097	67097	47.9	4.53	83.73	11	794	588	140	2	0	0	0
AG-316-L21	Prochlorococcus (5)	18	730	228	18.28	0.00	0.00	449261	0	34	34	19568	19568	13213	13213	73091	73091	48.8	4.25	84.35	11	439	624	106	0	0	0	0
AG-316-N21	Prochlorococcus (5)	18	730	228	12.11	0.00	0.00	364684	0	34	34	17346	17346	10726	10726	38802	38802	47.0	4.49	84.27	11	382	675	55	0	0	0	0
AG-316-N23	Prochlorococcus (5)	18	730	228	19.40	0.00	0.00	565546	0	41	41	18978	18978	13793	13793	64163	64163	48.6	4.33	83.28	11	628	611	119	0	0	0	0
AG-316-P23	Prochlorococcus (5)	18	730	228	12.49	0.00	0.00	398905	0	31	31	18192	18192	12867	12867	58201	58201	47.6	3.45	81.79	11	444	653	77	0	0	0	0
AG-321-B08	Prochlorococcus (5)	18	730	228	10.83	0.25	50.00	186806	0	11	11	35638	35638	16982	16982	50444	50444	31.2	1.33	91.01	11	200	660	68	2	0	0	0
AG-321-B15	Prochlorococcus (5)	18	730	228	16.60	0.00	0.00	337563	0	40	40	14152	14152	8439	8439	22416	22416	30.4	2.24	88.14	11	442	608	122	0	0	0	0
AG-321-D23	Prochlorococcus (5)	18	730	228	75.32	0.33	0.00	1201571	0	72	72	30029	30029	16688	16688	78148	78148	31.0	2.15	89.92	11	1445	205	523	2	0	0	0
AG-321-E21	Prochlorococcus (5)	18	730	228	70.98	0.00	0.00	1314750	0	48	48	57896	57896	27390	27390	170214	170214	30.6	2.80	88.11	11	1547	233	497	0	0	0	0
AG-321-F02	Prochlorococcus (5)	18	730	228	32.50	0.11	100.00	581146	0	53	53	17495	17495	10965	10965	45820	45820	30.6	2.15	88.58	11	702	485	244	1	0	0	0
AG-321-G20	Prochlorococcus (5)	18	730	228	36.26	0.66	100.00	566495	0	47	47	26018	26018	12053	12053	58090	58090	31.1	3.33	90.20	11	646	460	266	4	0	0	0
AG-321-G21	Prochlorococcus (5)	18	730	228	24.22	0.37	100.00	391011	0	51	51	10152	10152	7666	7666	25729	25729	30.8	2.17	90.98	11	474	564	163	3	0	0	0
AG-321-I09	Prochlorococcus (5)	18	730	228	20.72	0.00	0.00	328700	0	34	34	13369	13369	9667	9667	26011	26011	30.6	2.59	90.75	11	408	566	164	0	0	0	0
AG-321-K06	Prochlorococcus (5)	18	730	228	10.66	0.05	100.00	172047	0	21	21	13295	13295	8192	8192	23214	23214	31.8	2.59	88.29	11	190	646	83	1	0	0	0
AG-321-K11	Prochlorococcus (5)	18	730	228	13.53	0.44	100.00	214142	0	29	29	10882	10882	7384	7384	25936	25936	31.2	2.90	93.94	11	249	585	144	1	0	0	0
AG-321-L23	Prochlorococcus (5)	18	730	228	15.06	0.11	100.00	272816	0	24	24	27884	27884	11367	11367	46862	46862	30.9	2.72	89.84	11	313	616	113	1	0	0	0
AG-321-M21	Prochlorococcus (5)	18	730	228	49.78	0.44	0.00	827358	0	66	66	22395	22395	12535	12535	90907	90907	31.1	2.85	89.68	11	977	341	388	1	0	0	0
AG-321-O21	Prochlorococcus (5)	18	730	228	8.56	0.00	0.00	99003	0	14	14	8886	8886	7071	7071	15183	15183	30.9	1.79	92.03	11	117	672	58	0	0	0	0
AG-321-P21	Prochlorococcus (5)	18	730	228	23.77	0.66	100.00	377088	0	48	48	9577	9577	7856	7856	21162	21162	31.3	2.28	91.23	11	450	558	167	5	0	0	0
AG-331-A01	Prochlorococcus (5)	18	730	228	32.60	0.00	0.00	585972	0	31	31	32866	32866	18902	18902	111699	111699	35.2	2.71	90.32	11	648	448	282	0	0	0	0
AG-331-A02	Prochlorococcus (5)	18	730	228	10.02	0.00	0.00	154309	0	21	21	9067	9067	7348	7348	28020	28020	31.4	2.64	90.53	11	181	643	87	0	0	0	0
AG-331-B22	Prochlorococcus (5)	18	730	228	16.92	0.00	0.00	268123	0	18	18	25533	25533	14895	14895	80757	80757	35.3	2.45	91.90	11	293	606	124	0	0	0	0
AG-331-B23	Prochlorococcus (5)	18	730	228	7.89	0.00	0.00	179082	0	7	7	44721	44721	25583	25583	72429	72429	31.0	2.84	90.91	11	214	656	74	0	0	0	0
AG-331-C07	Prochlorococcus (5)	18	730	228	35.95	0.44	100.00	776264	0	59	59	26165	26165	13157	13157	92957	92957	34.5	3.20	85.15	11	913	474	255	1	0	0	0
AG-331-D10	Prochlorococcus (5)	18	730	228	16.63	0.00	0.00	329172	0	20	20	34525	34525	16458	16458	53804	53804	34.6	2.85	86.26	11	397	587	143	0	0	0	0
AG-331-D11	Prochlorococcus (5)	18	730	228	22.83	0.00	0.00	294564	0	28	28	17227	17227	10520	10520	36329	36329	31.3	1.59	92.51	11	332	585	145	0	0	0	0
AG-331-E10	Prochlorococcus (5)	18	730	228	26.82	1.40	75.00	435202	0	36	36	26031	26031	12088	12088	46313	46313	31.4	2.36	88.07	11	531	524	202	4	0	0	0
AG-331-E16	Prochlorococcus (5)	18	730	228	2.85	0.00	0.00	51412	0	3	3	26327	26327	17137	17137	26327	26327	33.6	2.47	88.04	11	63	700	30	0	0	0	0
AG-331-F21	Prochlorococcus (5)	18	730	228	13.92	0.00	0.00	208992	0	26	26	11878	11878	8038	8038	26188	26188	31.2	2.47	91.90	11	269	608	122	0	0	0	0
AG-331-J19	Prochlorococcus (5)	18	730	228	24.19	0.00	0.00	385518	0	34	34	24522	24522	11338	11338	47822	47822	31.3	2.92	92.59	11	434	534	196	0	0	0	0
AG-331-J21	Prochlorococcus (5)	18	730	228	23.76	0.00	0.00	364482	0	35	35	18299	18299	10413	10413	37726	37726	31.2	2.64	90.84	11	436	541	189	0	0	0	0
AG-331-K04	Prochlorococcus (5)	18	730	228	14.31	0.00	0.00	318947	0	11	11	159887	159887	28995	28995	159887	159887	35.4	1.64	86.91	11	367	594	136	0	0	0	0
AG-331-M18	Prochlorococcus (5)	18	730	228	56.96	0.00	0.00	1161185	0	69	69	35821	35821	16828	16828	95242	95242	35.0	2.86	87.44	11	1376	296	434	0	0	0	0
AG-335-A05	Prochlorococcus (5)	18	730	228	53.95	1.36	100.00	857646	0	53	53	30716	30716	16182	16182	121449	121449	30.9	3.48	90.85	11	1017	360	365	5	0	0	0
AG-335-B08	Prochlorococcus (5)	18	730	228	38.96	0.07	0.00	584135	0	45	45	22334	22334	12980	12980	72196	72196	31.3	2.15	92.02	11	679	413	316	1	0	0	0
AG-335-C21	Prochlorococcus (5)	18	730	228	29.76	0.00	0.00	484388	0	47	47	22672	22672	10306	10306	58365	58365	31.3	4.19	92.97	11	521	501	229	0	0	0	0
AG-335-D02	Prochlorococcus (5)	18	730	228	42.69	0.04	0.00	674981	0	62	62	17853	17853	10886	10886	44562	44562	31.2	2.10	90.81	11	822	395	334	1	0	0	0
AG-335-D04	Prochlorococcus (5)	18	730	228	34.73	0.00	0.00	500327	0	46	46	20841	20841	10876	10876	73061	73061	31.2	2.83	91.32	11	596	492	238	0	0	0	0
AG-335-E22	Prochlorococcus (5)	18	730	228	47.12	0.00	0.00	814114	0	48	48	39129	39129	16960	16960	82271	82271	31.2	2.08	89.74	11	947	364	366	0	0	0	0
AG-335-F06	Prochlorococcus (5)	18	730	228	24.00	0.11	0.00	361666	0	36	36	19832	19832	10046	10046	47291	47291	31.5	2.28	93.88	11	403	530	199	1	0	0	0
AG-335-I15	Prochlorococcus (5)	18	730	228	23.72	0.00	0.00	499680	0	24	24	49168	49168	20820	20820	111086	111086	31.6	4.13	90.88	11	540	512	218	0	0	0	0
AG-335-I21	Prochlorococcus (5)	18	730	228	58.09	0.33	0.00	936124	0	51	51	28320	28320	18355	18355	70311	70311	31.0	3.15	91.13	11	1093	310	418	2	0	0	0
AG-335-J02	Prochlorococcus (5)	18	730	228	35.73	0.00	0.00	489314	0	32	32	34775	34775	15291	15291	51776	51776	31.4	2.52	92.51	11	558	480	250	0	0	0	0
AG-335-J19	Prochlorococcus (5)	18	730	228	50.00	0.00	0.00	821743	0	52	52	34430	34430	15802	15802	131653	131653	31.2	3.87	90.76	11	942	376	354	0	0	0	0
AG-335-L06	Prochlorococcus (5)	18	730	228	49.20	0.00	0.00	739995	0	46	46	39234	39234	16086	16086	84584	84584	31.7	2.79	90.00	11	856	364	366	0	0	0	0
AG-335-N20	Prochlorococcus (5)	18	730	228	36.42	0.00	0.00	610661	0	35	35	39196	39196	17447	17447	54938	54938	30.9	1.86	90.02	11	741	434	296	0	0	0	0
AG-335-O19	Prochlorococcus (5)	18	730	228	60.03	0.00	0.00	949962	0	51	51	33507	33507	18626	18626	133813	133813	30.7	1.74	91.34	11	1155	294	436	0	0	0	0
AG-335-P02	Prochlorococcus (5)	18	730	228	36.78	0.00	0.00	692929	0	47	47	27418	27418	14743	14743	62986	62986	30.6	1.81	89.84	11	832	479	251	0	0	0	0
AG-341-A02	Prochlorococcus (5)	18	730	228	23.47	0.00	0.00	464855	0	25	25	36357	36357	18594	18594	57940	57940	34.3	2.77	85.73	11	579	558	172	0	0	0	0
AG-341-B22	Prochlorococcus (5)	18	730	228	17.25	0.00	0.00	290012	0	18	18	43003	43003	16111	16111	69244	69244	33.9	2.07	91.39	11	302	620	110	0	0	0	0
AG-341-E15	Prochlorococcus (5)	18	730	228	36.83	0.00	0.00	670841	0	42	42	29708	29708	15972	15972	77144	77144	35.2	2.36	86.69	11	843	428	302	0	0	0	0
AG-341-I22	Prochlorococcus (5)	18	730	228	30.31	0.00	0.00	496310	0	29	29	30232	30232	17114	17114	70574	70574	35.1	2.22	87.99	11	603	500	230	0	0	0	0
AG-341-K02	Prochlorococcus (5)	18	730	228	19.88	0.58	66.67	470737	0	47	47	15439	15439	10015	10015	31684	31684	35.1	2.63	84.01	11	601	585	139	6	0	0	0
AG-341-K05	Prochlorococcus (5)	18	730	228	12.41	0.53	0.00	377970	0	33	33	26420	26420	11453	11453	63457	63457	35.1	2.04	91.31	11	501	629	99	2	0	0	0
AG-341-L22	Prochlorococcus (5)	18	730	228	22.04	0.00	0.00	483633	0	33	33	24977	24977	14655	14655	47913	47913	34.4	2.52	84.93	11	622	580	150	0	0	0	0
AG-341-N05	Prochlorococcus (5)	18	730	228	39.82	0.00	0.00	570862	0	27	27	52697	52697	21143	21143	102982	102982	35.7	3.00	90.32	11	608	473	257	0	0	0	0
AG-341-O20	Prochlorococcus (5)	18	730	228	12.59	0.00	0.00	269424	0	20	20	23040	23040	13471	13471	51540	51540	35.0	1.89	92.68	11	315	610	120	0	0	0	0
AG-341-P17	Prochlorococcus (5)	18	730	228	7.30	0.00	0.00	134516	0	4	4	45685	45685	33629	33629	45953	45953	32.9	1.87	86.93	11	158	680	50	0	0	0	0
AG-345-K09	Prochlorococcus (5)	18	730	228	4.19	0.00	0.00	75855	0	17	17	5013	5013	4462	4462	12124	12124	35.2	2.01	87.05	11	100	706	24	0	0	0	0
AG-345-M19	Prochlorococcus (5)	18	730	228	3.45	0.12	100.00	52180	0	15	15	3317	3317	3478	3478	6795	6795	35.9	3.86	84.30	11	68	704	24	2	0	0	0
AG-345-P13	Prochlorococcus (5)	18	730	228	3.08	0.04	100.00	80654	0	23	23	3669	3669	3506	3506	7649	7649	35.6	2.86	87.12	11	105	691	38	1	0	0	0
AG-347-B08	Prochlorococcus (5)	18	730	228	48.34	0.00	0.00	788178	0	32	32	37177	37177	24630	24630	129426	129426	30.9	2.85	89.96	11	932	389	341	0	0	0	0
AG-347-B23	Prochlorococcus (5)	18	730	228	74.24	0.07	0.00	1220092	0	48	48	51316	51316	25418	25418	97710	97710	31.5	2.41	90.60	11	1440	166	563	1	0	0	0
AG-347-C10	Prochlorococcus (5)	18	730	228	74.95	0.00	0.00	1258105	0	54	54	47768	47768	23298	23298	116243	116243	31.1	3.71	89.96	11	1492	190	540	0	0	0	0
AG-347-E03	Prochlorococcus (5)	18	730	228	83.75	0.00	0.00	1376825	0	42	42	94283	94283	32781	32781	238952	238952	31.3	3.18	91.16	11	1568	122	608	0	0	0	0
AG-347-E23	Prochlorococcus (5)	18	730	228	90.42	0.00	0.00	1502555	0	31	31	82129	82129	48469	48469	291512	291512	31.3	2.44	90.85	11	1746	73	657	0	0	0	0
AG-347-G18	Prochlorococcus (5)	18	730	228	96.73	0.00	0.00	1593016	0	25	25	186071	186071	63720	63720	435251	435251	31.2	2.28	90.50	11	1830	45	685	0	0	0	0
AG-347-G20	Prochlorococcus (5)	18	730	228	90.94	0.00	0.00	1456849	0	35	35	100177	100177	41624	41624	369930	369930	31.3	2.53	90.81	11	1672	83	647	0	0	0	0
AG-347-G22	Prochlorococcus (5)	18	730	228	83.57	0.05	0.00	1326614	0	42	42	85196	85196	31586	31586	160119	160119	31.4	2.37	91.69	11	1529	116	613	1	0	0	0
AG-347-I04	Prochlorococcus (5)	18	730	228	91.70	0.00	0.00	1473772	0	34	34	80034	80034	43346	43346	334005	334005	31.4	2.15	91.00	11	1667	55	675	0	0	0	0
AG-347-I06	Prochlorococcus (5)	18	730	228	95.52	0.00	0.00	1524652	0	21	21	354096	354096	72602	72602	496282	496282	31.3	2.84	90.94	11	1760	33	697	0	0	0	0
AG-347-I15	Prochlorococcus (5)	18	730	228	84.83	0.04	0.00	1285259	0	34	34	183906	183906	37801	37801	421335	421335	31.4	3.89	91.15	11	1454	102	627	1	0	0	0
AG-347-I19	Prochlorococcus (5)	18	730	228	91.50	0.00	0.00	1463307	0	26	26	116244	116244	56281	56281	481130	481130	31.5	2.19	91.14	11	1684	45	685	0	0	0	0
AG-347-I21	Prochlorococcus (5)	18	730	228	94.19	0.00	0.00	1557900	0	40	40	99033	99033	38947	38947	314782	314782	31.4	3.11	90.33	11	1825	51	679	0	0	0	0
AG-347-I22	Prochlorococcus (5)	18	730	228	65.00	0.00	0.00	1035590	0	70	70	28124	28124	14794	14794	99203	99203	32.2	3.28	91.37	11	1184	245	485	0	0	0	0
AG-347-I23	Prochlorococcus (5)	18	730	228	60.58	0.00	0.00	1057338	0	29	29	62826	62826	36459	36459	98386	98386	31.1	2.40	90.74	11	1258	265	465	0	0	0	0
AG-347-J05	Prochlorococcus (5)	18	730	228	42.60	0.00	0.00	725890	0	32	32	34603	34603	22684	22684	109098	109098	31.4	2.21	91.96	11	817	381	349	0	0	0	0
AG-347-J06	Prochlorococcus (5)	18	730	228	85.90	0.00	0.00	1412937	0	51	51	62819	62819	27704	27704	202517	202517	31.2	2.33	90.78	11	1634	106	624	0	0	0	0
AG-347-J14	Prochlorococcus (5)	18	730	228	88.15	0.00	0.00	1498306	0	24	24	115565	115565	62429	62429	306637	306637	31.3	2.32	90.46	11	1732	65	665	0	0	0	0
AG-347-J19	Prochlorococcus (5)	18	730	228	93.23	0.00	0.00	1592054	0	20	20	179178	179178	79602	79602	223226	223226	31.3	1.32	90.92	11	1833	41	689	0	0	0	0
AG-347-J20	Prochlorococcus (5)	18	730	228	92.26	0.00	0.00	1403792	0	32	32	87429	87429	43868	43868	204178	204178	31.5	1.90	91.15	11	1624	56	674	0	0	0	0
AG-347-J21	Prochlorococcus (5)	18	730	228	89.21	0.15	0.00	1421082	0	26	26	101026	101026	54657	54657	205392	205392	31.5	1.92	91.26	11	1613	54	675	1	0	0	0
AG-347-J22	Prochlorococcus (5)	18	730	228	89.20	0.05	0.00	1411991	0	36	36	80724	80724	39221	39221	177359	177359	30.9	1.89	90.18	11	1614	80	649	1	0	0	0
AG-347-J23	Prochlorococcus (5)	18	730	228	78.43	0.00	0.00	1336622	0	43	43	59756	59756	31084	31084	156736	156736	31.3	2.70	90.43	11	1546	135	595	0	0	0	0
AG-347-K02	Prochlorococcus (5)	18	730	228	91.25	0.22	0.00	1454557	0	35	35	166972	166972	41558	41558	206789	206789	31.2	2.12	91.31	11	1696	75	654	1	0	0	0
AG-347-K10	Prochlorococcus (5)	18	730	228	82.03	0.44	0.00	1335039	0	34	34	63171	63171	39265	39265	137066	137066	31.4	2.01	90.71	11	1571	90	639	1	0	0	0
AG-347-K15	Prochlorococcus (5)	18	730	228	76.14	0.00	0.00	1165132	0	50	50	53833	53833	23302	23302	131652	131652	31.4	2.20	91.08	11	1357	169	561	0	0	0	0
AG-347-K16	Prochlorococcus (5)	18	730	228	94.34	0.15	0.00	1566220	0	37	37	82116	82116	42330	42330	249493	249493	31.3	2.05	90.61	11	1786	41	688	1	0	0	0
AG-347-K17	Prochlorococcus (5)	18	730	228	91.12	0.00	0.00	1497472	0	25	25	141954	141954	59898	59898	218656	218656	31.2	3.77	90.67	11	1736	57	673	0	0	0	0
AG-347-K18	Prochlorococcus (5)	18	730	228	94.13	0.00	0.00	1567557	0	20	20	180916	180916	78377	78377	375240	375240	31.2	1.83	90.83	11	1793	31	699	0	0	0	0
AG-347-K19	Prochlorococcus (5)	18	730	228	89.67	0.00	0.00	1469081	0	36	36	101493	101493	40807	40807	254678	254678	31.5	2.37	91.11	11	1693	63	667	0	0	0	0
AG-347-K20	Prochlorococcus (5)	18	730	228	90.03	0.19	0.00	1509006	0	30	30	136459	136459	50300	50300	300485	300485	31.6	3.21	91.02	11	1674	59	669	2	0	0	0
AG-347-K21	Prochlorococcus (5)	18	730	228	45.85	0.07	0.00	774245	0	42	42	27100	27100	18434	18434	58825	58825	31.8	2.12	90.99	11	849	379	350	1	0	0	0
AG-347-K22	Prochlorococcus (5)	18	730	228	55.00	0.11	100.00	866944	0	37	37	39832	39832	23430	23430	157210	157210	31.6	2.50	92.01	11	977	321	408	1	0	0	0
AG-347-K23	Prochlorococcus (5)	18	730	228	50.72	0.00	0.00	837619	0	29	29	72825	72825	28883	28883	116470	116470	31.7	1.96	90.93	11	963	363	367	0	0	0	0
AG-347-L02	Prochlorococcus (5)	18	730	228	91.67	0.00	0.00	1534788	0	36	36	90955	90955	42633	42633	268963	268963	31.3	2.00	90.52	11	1770	49	681	0	0	0	0
AG-347-L13	Prochlorococcus (5)	18	730	228	59.59	0.00	0.00	971350	0	25	25	94930	94930	38854	38854	315851	315851	31.8	2.41	91.49	11	1085	245	485	0	0	0	0
AG-347-L17	Prochlorococcus (5)	18	730	228	91.83	0.00	0.00	1517440	0	35	35	106080	106080	43355	43355	225212	225212	31.3	2.75	90.67	11	1738	50	680	0	0	0	0
AG-347-L19	Prochlorococcus (5)	18	730	228	78.84	0.00	0.00	1303229	0	49	49	46455	46455	26596	26596	210565	210565	31.3	2.14	91.26	11	1493	137	593	0	0	0	0
AG-347-L20	Prochlorococcus (5)	18	730	228	97.23	0.00	0.00	1649271	0	36	36	105136	105136	45813	45813	319667	319667	31.1	2.28	90.64	11	1918	30	700	0	0	0	0
AG-347-L21	Prochlorococcus (5)	18	730	228	83.88	0.15	0.00	1409046	0	49	49	73913	73913	28756	28756	192401	192401	31.3	3.31	90.69	11	1667	126	603	1	0	0	0
AG-347-M08	Prochlorococcus (5)	18	730	228	92.46	0.00	0.00	1476354	0	25	25	198817	198817	59054	59054	247990	247990	31.3	1.83	90.87	11	1732	47	683	0	0	0	0
AG-347-M15	Prochlorococcus (5)	18	730	228	89.25	0.00	0.00	1477666	0	38	38	108142	108142	38885	38885	196980	196980	31.1	2.92	90.62	11	1726	99	631	0	0	0	0
AG-347-M18	Prochlorococcus (5)	18	730	228	84.39	0.44	0.00	1369540	0	45	45	77192	77192	30434	30434	176443	176443	31.4	3.44	90.97	11	1574	110	619	1	0	0	0
