Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
AAA795-L23	Pelagibacteraceae (4)	15	695	142	64.98	0.65	33.33	744868	0	61	61	30783	30783	12210	12210	57174	57174	27.9	2.66	97.14	11	852	247	445	3	0	0	0
AAA795-M18	Pelagibacteraceae (4)	15	695	142	69.40	1.47	33.33	1029034	0	37	37	66910	66910	27811	27811	130643	130643	29.2	3.72	96.49	11	1076	231	461	3	0	0	0
AAA795-M22	Pelagibacteraceae (4)	15	695	142	73.70	0.32	25.00	811889	0	27	27	66137	66137	30069	30069	223039	223039	29.4	2.05	96.76	11	886	167	524	4	0	0	0
AAA795-N08	Pelagibacteraceae (4)	15	695	142	38.22	0.20	0.00	480859	0	50	50	17709	17709	9617	9617	46985	46985	28.3	6.48	96.83	11	559	490	203	2	0	0	0
AAA795-N17	Pelagibacteraceae (4)	15	695	142	42.80	0.53	0.00	558276	0	38	38	31367	31367	14691	14691	64505	64505	29.4	2.46	96.26	11	611	354	338	3	0	0	0
AAA795-O19	Pelagibacteraceae (4)	15	695	142	57.23	0.04	0.00	776039	0	27	27	70048	70048	28742	28742	191259	191259	29.0	2.58	97.02	11	841	316	378	1	0	0	0
AAA795-O20	Pelagibacteraceae (4)	15	695	142	79.92	0.23	0.00	985052	0	36	36	81405	81405	27362	27362	157211	157211	29.0	1.93	96.26	11	1077	156	537	2	0	0	0
AAA795-P11	Pelagibacteraceae (4)	15	695	142	62.66	0.99	0.00	914706	0	52	52	39306	39306	17590	17590	67304	67304	29.1	2.38	96.63	11	1002	219	473	3	0	0	0
AAA797-I19	Pelagibacteraceae (4)	15	695	142	69.56	0.52	66.67	972854	0	23	23	157078	157078	42298	42298	199009	199009	29.3	2.49	96.39	11	1040	225	467	3	0	0	0
AG-313-A04	Pelagibacteraceae (4)	15	695	142	86.71	0.35	0.00	959028	0	19	19	120817	120817	50475	50475	288767	288767	29.9	2.02	96.61	11	1024	80	614	1	0	0	0
AG-319-F18	Pelagibacteraceae (4)	15	695	142	80.74	1.93	0.00	1134287	0	42	42	69064	69064	27006	27006	148531	148531	29.1	3.09	95.97	11	1228	144	545	6	0	0	0
AG-325-C02	Pelagibacteraceae (4)	15	695	142	53.54	0.49	50.00	786008	0	52	52	37672	37672	15115	15115	71687	71687	29.7	2.94	96.33	11	854	330	363	2	0	0	0
AG-325-C03	Pelagibacteraceae (4)	15	695	142	80.39	0.94	60.00	978245	0	51	51	37178	37178	19181	19181	153026	153026	29.2	2.87	95.50	11	1092	129	561	5	0	0	0
AG-325-C10	Pelagibacteraceae (4)	15	695	142	79.41	0.28	0.00	1087529	0	41	41	49469	49469	26525	26525	134717	134717	29.5	1.84	96.11	11	1188	152	541	2	0	0	0
AG-325-E08	Pelagibacteraceae (4)	15	695	142	89.31	1.09	0.00	1024954	0	34	34	57404	57404	30145	30145	138492	138492	29.0	1.91	96.37	11	1102	60	630	5	0	0	0
AG-325-E13	Pelagibacteraceae (4)	15	695	142	87.94	0.39	0.00	955892	0	28	28	85732	85732	34139	34139	229235	229235	29.4	1.60	96.25	11	1040	94	599	2	0	0	0
AG-325-E23	Pelagibacteraceae (4)	15	695	142	83.38	1.41	0.00	1159533	0	41	41	68343	68343	28281	28281	118073	118073	29.4	4.00	96.64	11	1247	164	529	2	0	0	0
AG-325-F13	Pelagibacteraceae (4)	15	695	142	79.64	1.06	0.00	894461	0	47	47	34938	34938	19031	19031	68739	68739	29.2	2.28	96.25	11	993	175	518	2	0	0	0
AG-325-F15	Pelagibacteraceae (4)	15	695	142	70.22	0.15	33.33	1003629	0	75	75	23775	23775	13381	13381	68306	68306	29.1	3.04	96.03	11	1083	234	458	3	0	0	0
AG-325-J13	Pelagibacteraceae (4)	15	695	142	82.72	1.76	0.00	921506	0	16	16	148863	148863	57594	57594	381189	381189	29.6	1.56	96.39	11	999	150	541	4	0	0	0
AG-325-J17	Pelagibacteraceae (4)	15	695	142	82.84	1.06	0.00	977881	0	31	31	79260	79260	31544	31544	120566	120566	29.0	2.15	96.06	11	1055	137	555	3	0	0	0
AG-333-C14	Pelagibacteraceae (4)	15	695	142	74.77	5.19	0.00	1189654	0	42	42	61589	61589	28325	28325	207104	207104	33.4	1.95	95.68	11	1247	161	515	15	4	0	0
AG-337-G04	Pelagibacteraceae (4)	15	695	142	93.31	2.52	0.00	1330070	0	23	23	111674	111674	57829	57829	160141	160141	29.4	1.93	96.51	11	1402	40	649	6	0	0	0
AG-337-G06	Pelagibacteraceae (4)	15	695	142	81.81	6.16	0.00	1270863	0	20	20	142625	142625	63543	63543	250344	250344	33.5	2.23	95.98	11	1319	87	585	18	3	2	0
AG-337-I02	Pelagibacteraceae (4)	15	695	142	69.34	3.69	0.00	1452096	0	41	41	61242	61242	35416	35416	310233	310233	29.0	3.90	96.30	11	1534	162	508	24	1	0	0
AG-339-L04	Pelagibacteraceae (4)	15	695	142	48.61	1.60	90.00	613183	0	65	65	15148	15148	9433	9433	40310	40310	29.6	2.66	96.18	11	700	414	271	10	0	0	0
AG-339-N18	Pelagibacteraceae (4)	15	695	142	54.15	1.05	87.50	649510	0	58	58	16767	16767	11198	11198	42079	42079	29.4	2.49	95.95	11	744	343	344	8	0	0	0
AG-345-F03	Pelagibacteraceae (4)	15	695	142	43.02	0.70	100.00	604738	0	57	57	15135	15135	10609	10609	44325	44325	28.6	2.26	96.38	11	708	390	304	1	0	0	0
AG-345-F21	Pelagibacteraceae (4)	15	695	142	84.02	0.35	0.00	974939	0	31	31	51992	51992	31449	31449	114148	114148	29.8	1.98	96.04	11	1054	122	572	1	0	0	0
AG-345-L07	Pelagibacteraceae (4)	15	695	142	43.30	0.74	50.00	557698	0	50	50	14908	14908	11153	11153	56970	56970	29.3	2.08	96.26	11	667	366	327	2	0	0	0
AG-345-O09	Pelagibacteraceae (4)	15	695	142	76.82	0.70	0.00	912744	0	29	29	72503	72503	31473	31473	134143	134143	28.9	2.25	95.92	11	999	163	530	2	0	0	0
AG-349-C15	Pelagibacteraceae (4)	15	695	142	37.90	0.39	0.00	551494	0	30	30	39397	39397	18383	18383	91721	91721	30.1	2.53	95.80	11	626	445	248	2	0	0	0
AG-349-E10	Pelagibacteraceae (4)	15	695	142	49.66	2.12	0.00	902891	0	46	46	37824	37824	19628	19628	135020	135020	30.3	3.42	95.85	11	983	332	353	10	0	0	0
AG-349-L17	Pelagibacteraceae (4)	15	695	142	89.54	1.06	0.00	1216121	0	25	25	90568	90568	48644	48644	142309	142309	29.3	1.65	96.27	11	1283	106	587	2	0	0	0
AG-349-L23	Pelagibacteraceae (4)	15	695	142	62.62	0.18	25.00	912480	0	41	41	31444	31444	22255	22255	139911	139911	29.9	2.77	96.22	11	973	218	473	4	0	0	0
AG-349-O05	Pelagibacteraceae (4)	15	695	142	84.27	0.00	0.00	1119353	0	37	37	50134	50134	30252	30252	134192	134192	29.2	3.22	96.53	11	1209	102	593	0	0	0	0
AG-359-E06	Pelagibacteraceae (4)	15	695	142	77.08	0.44	0.00	842054	0	34	34	50948	50948	24766	24766	105300	105300	29.5	3.52	96.19	11	930	188	504	3	0	0	0
AG-359-O02	Pelagibacteraceae (4)	15	695	142	82.41	0.76	0.00	1098312	0	34	34	99950	99950	32303	32303	171248	171248	29.2	2.08	96.52	11	1190	108	585	2	0	0	0
AG-365-D07	Pelagibacteraceae (4)	15	695	142	86.00	0.87	0.00	1050652	0	31	31	53323	53323	33892	33892	100971	100971	28.8	2.14	96.34	11	1115	104	588	3	0	0	0
AG-365-O22	Pelagibacteraceae (4)	15	695	142	51.71	0.00	0.00	602930	0	30	30	33716	33716	20097	20097	149853	149853	29.8	1.91	95.87	11	668	308	387	0	0	0	0
AG-365-P18	Pelagibacteraceae (4)	15	695	142	48.86	1.21	7.14	823747	0	44	44	39483	39483	18721	18721	68534	68534	29.2	2.83	96.15	11	871	378	305	11	1	0	0
AG-390-A02	Pelagibacteraceae (4)	15	695	142	80.87	0.00	0.00	1079061	0	62	62	39922	39922	17404	17404	80644	80644	29.2	2.98	96.36	11	1200	149	546	0	0	0	0
AG-390-A23	Pelagibacteraceae (4)	15	695	142	75.35	0.04	0.00	1066407	0	51	51	51051	51051	20909	20909	113006	113006	29.4	3.16	96.17	11	1175	131	563	1	0	0	0
AG-390-C22	Pelagibacteraceae (4)	15	695	142	87.98	1.41	0.00	1040035	0	27	27	91652	91652	38519	38519	181952	181952	29.4	1.53	96.61	11	1113	91	601	3	0	0	0
AG-390-D18	Pelagibacteraceae (4)	15	695	142	80.31	0.06	0.00	1218852	0	33	33	85847	85847	36934	36934	146812	146812	29.2	1.81	96.34	11	1297	121	573	1	0	0	0
AG-390-L03	Pelagibacteraceae (4)	15	695	142	95.43	1.32	0.00	1352095	0	19	19	180112	180112	71162	71162	624772	624772	29.3	2.12	96.36	11	1433	33	657	5	0	0	0
AG-390-M19	Pelagibacteraceae (4)	15	695	142	59.86	0.04	0.00	873216	0	63	63	31813	31813	13860	13860	74374	74374	29.6	2.38	95.99	11	951	296	398	1	0	0	0
AG-390-O04	Pelagibacteraceae (4)	15	695	142	88.82	0.47	0.00	1056881	0	31	31	65202	65202	34092	34092	162751	162751	28.6	2.67	96.19	11	1147	72	621	2	0	0	0
AG-404-N13	Pelagibacteraceae (4)	15	695	142	82.52	1.99	0.00	1166071	0	40	40	76429	76429	29151	29151	176577	176577	28.6	2.42	96.31	11	1219	132	557	6	0	0	0
AG-404-P07	Pelagibacteraceae (4)	15	695	142	75.40	0.11	0.00	937395	0	42	42	55854	55854	22318	22318	109239	109239	28.5	2.38	96.32	11	1027	166	527	2	0	0	0
AG-404-P08	Pelagibacteraceae (4)	15	695	142	69.15	3.28	0.00	1235579	0	27	27	117297	117297	45762	45762	170314	170314	30.3	2.89	96.22	11	1328	177	499	18	1	0	0
AG-410-B18	Pelagibacteraceae (4)	15	695	142	58.79	1.73	0.00	1065802	0	45	45	52830	52830	23684	23684	119602	119602	28.9	2.75	96.60	11	1124	199	478	17	1	0	0
AG-410-D23	Pelagibacteraceae (4)	15	695	142	52.39	0.00	0.00	673399	0	49	49	22504	22504	13742	13742	85475	85475	27.9	2.22	96.09	11	745	241	454	0	0	0	0
AG-410-J13	Pelagibacteraceae (4)	15	695	142	17.31	0.00	0.00	278323	0	16	16	50831	50831	17395	17395	57386	57386	27.7	3.81	95.84	11	307	541	154	0	0	0	0
AG-410-N23	Pelagibacteraceae (4)	15	695	142	78.97	0.00	0.00	923408	0	36	36	45839	45839	25650	25650	136853	136853	28.5	1.70	96.18	11	1003	171	524	0	0	0	0
AG-414-C04	Pelagibacteraceae (4)	15	695	142	59.76	0.10	0.00	828558	0	51	51	24021	24021	16246	16246	79834	79834	29.0	2.98	95.98	11	911	249	445	1	0	0	0
AG-414-E02	Pelagibacteraceae (4)	15	695	142	76.12	1.09	0.00	1142243	0	11	11	204902	204902	103840	103840	384656	384656	30.0	1.63	96.32	11	1179	115	577	3	0	0	0
AG-414-J22	Pelagibacteraceae (4)	15	695	142	30.41	0.70	0.00	466341	0	26	26	29783	29783	17936	17936	78201	78201	30.1	2.16	95.61	11	514	524	170	1	0	0	0
AG-414-M23	Pelagibacteraceae (4)	15	695	142	82.92	1.84	0.00	1104608	0	38	38	63912	63912	29068	29068	116638	116638	28.7	2.10	96.42	11	1192	89	601	5	0	0	0
AG-414-O11	Pelagibacteraceae (4)	15	695	142	94.79	0.35	0.00	1212678	0	22	22	143379	143379	55121	55121	387734	387734	29.7	2.97	96.12	11	1306	52	642	1	0	0	0
AG-422-B15	Pelagibacteraceae (4)	15	695	142	67.38	4.70	0.00	1093635	0	36	36	53510	53510	30378	30378	180708	180708	33.3	1.69	96.05	11	1163	172	504	18	1	0	0
AG-422-C23	Pelagibacteraceae (4)	15	695	142	72.51	0.22	0.00	809608	0	46	46	29565	29565	17600	17600	81616	81616	28.7	2.49	96.02	11	911	268	424	3	0	0	0
AG-422-D23	Pelagibacteraceae (4)	15	695	142	91.44	0.35	0.00	1279565	0	35	35	89564	89564	36559	36559	416142	416142	29.3	3.67	96.22	11	1370	58	636	1	0	0	0
AG-422-I02	Pelagibacteraceae (4)	15	695	142	63.23	0.18	0.00	769465	0	17	17	90796	90796	45262	45262	149452	149452	30.0	3.06	96.13	11	846	228	465	2	0	0	0
AG-422-M16	Pelagibacteraceae (4)	15	695	142	51.94	2.51	0.00	727766	0	55	55	29106	29106	13232	13232	99095	99095	33.4	3.32	95.85	11	786	367	319	7	2	0	0
AG-422-N09	Pelagibacteraceae (4)	15	695	142	75.46	5.42	0.00	1223742	0	27	27	92637	92637	45323	45323	134335	134335	33.0	2.64	96.23	11	1288	130	544	19	1	1	0
AG-426-A02	Pelagibacteraceae (4)	15	695	142	68.31	1.13	75.00	770013	0	57	57	29158	29158	13509	13509	78563	78563	29.3	2.24	96.30	11	869	219	472	4	0	0	0
AG-426-E17	Pelagibacteraceae (4)	15	695	142	97.34	0.37	0.00	1151069	0	5	5	966325	966325	230213	230213	966325	966325	28.7	1.08	96.50	11	1214	8	685	2	0	0	0
AG-426-G02	Pelagibacteraceae (4)	15	695	142	86.41	0.04	0.00	1039357	0	33	33	62904	62904	31495	31495	148461	148461	29.6	2.74	95.99	11	1135	112	582	1	0	0	0
AG-426-G09	Pelagibacteraceae (4)	15	695	142	89.47	1.71	0.00	1162454	0	38	38	63493	63493	30590	30590	136071	136071	28.8	2.82	96.48	11	1232	70	618	7	0	0	0
AG-426-I15	Pelagibacteraceae (4)	15	695	142	84.13	0.14	0.00	976624	0	19	19	170636	170636	51401	51401	336766	336766	30.1	2.30	96.45	11	1062	93	600	2	0	0	0
AG-426-L23	Pelagibacteraceae (4)	15	695	142	87.41	0.35	0.00	987485	0	10	10	637871	637871	98748	98748	637871	637871	29.5	1.42	96.30	11	1034	122	572	1	0	0	0
AG-426-M19	Pelagibacteraceae (4)	15	695	142	90.02	1.41	0.00	1256227	0	25	25	143263	143263	50249	50249	213323	213323	29.1	2.14	96.61	11	1349	72	620	3	0	0	0
AG-426-P20	Pelagibacteraceae (4)	15	695	142	75.36	0.05	0.00	909565	0	59	59	25877	25877	15416	15416	62276	62276	28.9	2.23	95.61	11	1012	191	503	1	0	0	0
AG-430-E20	Pelagibacteraceae (4)	15	695	142	92.97	1.23	0.00	1183991	0	16	16	224724	224724	73999	73999	255676	255676	29.8	2.49	96.05	11	1272	59	633	3	0	0	0
AG-430-F16	Pelagibacteraceae (4)	15	695	142	96.06	0.70	0.00	1108048	0	13	13	264091	264091	85234	85234	369959	369959	29.5	2.38	96.43	11	1190	36	657	2	0	0	0
AG-430-I06	Pelagibacteraceae (4)	15	695	142	75.05	0.35	0.00	924715	0	27	27	76877	76877	34248	34248	128991	128991	30.0	1.73	96.33	11	986	130	564	1	0	0	0
AG-430-L02	Pelagibacteraceae (4)	15	695	142	64.58	0.05	0.00	743757	0	41	41	49682	49682	18140	18140	107809	107809	30.0	2.35	96.39	11	843	243	451	1	0	0	0
AG-430-P08	Pelagibacteraceae (4)	15	695	142	82.95	0.72	33.33	1017047	0	39	39	54940	54940	26078	26078	137468	137468	29.3	2.56	96.47	11	1118	122	570	3	0	0	0
AG-435-G05	Pelagibacteraceae (4)	15	695	142	62.00	0.70	100.00	708624	0	40	40	31159	31159	17715	17715	82042	82042	29.7	2.29	96.11	11	762	275	417	3	0	0	0
AG-435-N18	Pelagibacteraceae (4)	15	695	142	53.64	0.07	0.00	660486	0	36	36	49020	49020	18346	18346	187575	187575	29.6	3.96	95.93	11	717	344	349	2	0	0	0
AG-439-F23	Pelagibacteraceae (4)	15	695	142	79.14	1.49	0.00	1084689	0	41	41	49438	49438	26455	26455	102952	102952	28.5	3.29	96.40	11	1141	175	514	6	0	0	0
AG-447-E22	Pelagibacteraceae (4)	15	695	142	70.17	0.47	0.00	804683	0	34	34	41518	41518	23667	23667	87988	87988	28.9	2.81	96.24	11	883	210	483	2	0	0	0
AG-447-N18	Pelagibacteraceae (4)	15	695	142	92.86	0.26	0.00	1120369	0	36	36	63648	63648	31121	31121	200714	200714	29.5	2.63	96.08	11	1225	48	644	3	0	0	0
AG-447-N21	Pelagibacteraceae (4)	15	695	142	87.31	1.12	0.00	1179292	0	31	31	96504	96504	38041	38041	166195	166195	28.3	2.39	96.40	11	1244	106	586	3	0	0	0
AG-461-B04	Pelagibacteraceae (4)	15	695	142	72.21	4.74	0.00	1103143	0	30	30	81764	81764	36771	36771	180268	180268	33.3	2.58	96.13	11	1173	139	533	20	3	0	0
AG-464-B04	Pelagibacteraceae (4)	15	695	142	63.75	1.74	37.50	966640	0	50	50	34035	34035	19332	19332	73930	73930	29.4	1.84	95.27	11	1045	262	425	8	0	0	0
AG-464-P07	Pelagibacteraceae (4)	15	695	142	73.07	0.95	0.00	1138562	0	46	46	77204	77204	24751	24751	189275	189275	29.7	3.28	94.60	11	1192	177	514	4	0	0	0
AG-470-E16	Pelagibacteraceae (4)	15	695	142	71.64	0.44	0.00	968825	0	39	39	93658	93658	24841	24841	176270	176270	28.6	2.29	95.84	11	1065	183	509	3	0	0	0
AG-470-G06	Pelagibacteraceae (4)	15	695	142	30.70	0.94	50.00	423104	0	44	44	16831	16831	9616	9616	54034	54034	29.5	3.49	95.24	11	516	509	182	4	0	0	0
AG-470-G21	Pelagibacteraceae (4)	15	695	142	82.36	0.90	0.00	1113470	0	34	34	86618	86618	32749	32749	158444	158444	29.3	2.32	96.39	11	1190	116	575	4	0	0	0
ARS1	Pelagibacteraceae (4)	15	695	142	81.64	10.70	58.97	1300718	4880	60	60	30360	30325	21678	21597	87593	87411	31.2	2.14	95.05	11	1425	68	553	72	2	0	0
ARS1016	Pelagibacteraceae (4)	15	695	142	36.15	1.93	5.56	540117	3801	52	52	10757	10706	10386	10313	25246	25050	28.8	1.71	95.01	11	604	384	293	18	0	0	0
ARS1026	Pelagibacteraceae (4)	15	695	142	62.17	2.26	57.69	983187	982	35	35	45759	45756	28091	28063	107832	107594	30.5	2.76	94.15	11	1068	242	434	17	1	1	0
ARS92	Pelagibacteraceae (4)	15	695	142	50.56	4.00	0.00	938760	2543	55	55	19629	19609	17068	17022	49286	49286	32.4	1.95	96.58	11	1008	317	362	14	0	2	0
B4_spades	Pelagibacteraceae (4)	15	695	142	22.30	1.44	90.00	516060	0	62	62	11207	11207	8323	8323	39413	39413	28.6	3.22	94.52	11	603	537	148	10	0	0	0
BACL5-MAG-120705-bin12	Pelagibacteraceae (4)	15	695	142	74.43	1.98	0.00	1056063	0	155	155	7115	7115	6813	6813	36274	36274	31.6	5.57	96.17	11	1209	166	515	14	0	0	0
BACL5-MAG-120813-bin20	Pelagibacteraceae (4)	15	695	142	51.62	0.53	0.00	667156	0	170	170	4184	4184	3924	3924	14150	14150	30.7	1.93	96.74	11	795	323	370	2	0	0	0
BACL5-MAG-120820-bin39	Pelagibacteraceae (4)	15	695	142	84.78	1.43	44.44	1048735	0	154	154	9819	9819	6809	6809	39080	39080	29.4	2.36	96.38	11	1242	93	593	9	0	0	0
BACL5-MAG-120920-bin64	Pelagibacteraceae (4)	15	695	142	49.13	1.59	50.00	711101	0	196	196	3754	3754	3628	3628	12816	12816	30.9	2.23	96.05	11	885	339	352	4	0	0	0
BACL5-MAG-121015-bin10	Pelagibacteraceae (4)	15	695	142	83.28	2.54	46.15	1095111	0	189	189	6658	6658	5794	5794	39895	39895	29.4	2.80	96.43	11	1301	113	569	13	0	0	0
BACL5-MAG-121128-bin54	Pelagibacteraceae (4)	15	695	142	74.43	1.21	28.57	922610	0	175	175	6291	6291	5272	5272	19792	19792	29.8	2.28	96.53	11	1090	158	530	7	0	0	0
CPC289	Pelagibacteraceae (4)	15	695	142	89.01	7.71	25.00	1073347	3340	31	31	61239	61111	34624	34516	206254	205650	29.7	1.86	96.24	11	1193	104	553	37	1	0	0
CPC305	Pelagibacteraceae (4)	15	695	142	82.36	22.52	7.19	2250599	4770	102	102	38343	38330	22064	22017	120342	120021	29.7	2.00	94.85	11	2291	112	489	76	12	4	2
CPC306	Pelagibacteraceae (4)	15	695	142	62.81	7.46	64.52	677666	912	35	35	23228	23224	19361	19335	104945	104628	29.6	2.30	96.55	11	728	267	397	31	0	0	0
EAC659	Pelagibacteraceae (4)	15	695	142	34.56	4.23	26.92	599395	3279	40	40	16542	16446	14984	14902	45077	44736	33.2	1.44	96.57	11	667	433	242	17	3	0	0
ETNP-OMZ-SAG-A06	Pelagibacteraceae (4)	15	695	142	22.70	0.10	0.00	466516	0	64	64	10649	10649	7289	7289	30672	30672	31.8	2.58	93.92	11	572	456	238	1	0	0	0
ETNP-OMZ-SAG-A07	Pelagibacteraceae (4)	15	695	142	6.81	0.00	0.00	182971	0	24	24	13055	13055	7623	7623	37799	37799	33.5	3.29	91.83	11	201	630	65	0	0	0	0
ETNP-OMZ-SAG-A08	Pelagibacteraceae (4)	15	695	142	6.63	0.11	100.00	107020	0	24	24	4376	4376	4459	4459	10468	10468	32.1	2.63	91.25	11	140	662	31	2	0	0	0
ETNP-OMZ-SAG-A10	Pelagibacteraceae (4)	15	695	142	17.65	0.13	100.00	263245	0	47	47	7291	7291	5600	5600	23831	23831	29.9	3.09	93.09	11	334	534	159	2	0	0	0
ETNP-OMZ-SAG-B01	Pelagibacteraceae (4)	15	695	142	13.85	1.07	80.00	230939	0	58	58	3943	3943	3981	3981	10040	10040	29.3	2.66	92.48	11	308	595	95	5	0	0	0
ETNP-OMZ-SAG-B02	Pelagibacteraceae (4)	15	695	142	23.39	0.40	86.67	457438	0	59	59	11637	11637	7753	7753	26006	26006	30.4	3.13	92.07	11	558	503	184	6	1	1	0
ETNP-OMZ-SAG-B03	Pelagibacteraceae (4)	15	695	142	18.81	1.37	70.00	288130	0	47	47	7909	7909	6130	6130	22983	22983	31.1	2.02	93.17	11	360	550	135	10	0	0	0
