enzyme	seqid	genome	contig	gene_no	start	end	strand	pfam	dbit	devalue	fullbit	fullevalue
phnS2	AG-891-B08_5_19_12614_13666_R	AG-891-B08	5	19	12614	13666	R	TIGR03261	459.5	7.5e-140	459.2	9e-140
phnS2	AG-891-C05_1_73_37430_38482_F	AG-891-C05	1	73	37430	38482	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-891-C05_1_74_38564_39670_F	AG-891-C05	1	74	38564	39670	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-891-C05_1_75_39675_41414_F	AG-891-C05	1	75	39675	41414	F	TIGR03262	703.6	2.1e-213	703.4	2.5e-213
hpnW	AG-891-C05_1_77_42188_43333_F	AG-891-C05	1	77	42188	43333	F	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnZ	AG-891-C05_1_78_43330_43908_R	AG-891-C05	1	78	43330	43908	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-891-K07_9_6_3469_4047_F	AG-891-K07	9	6	3469	4047	F	PF01966.21	28.2	1.7e-6	27.7	2.4e-6
hpnW	AG-891-K07_9_7_4044_5189_R	AG-891-K07	9	7	4044	5189	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-891-K07_9_9_5963_7702_R	AG-891-K07	9	9	5963	7702	R	TIGR03262	707.3	1.7e-214	707	2e-214
phnT2	AG-891-K07_9_10_7707_8813_R	AG-891-K07	9	10	7707	8813	R	TIGR03265	473.2	6.2e-144	473	7.1e-144
phnS2	AG-891-K07_9_11_8895_9923_R	AG-891-K07	9	11	8895	9923	R	TIGR03261	458.7	1.3e-139	458.5	1.5e-139
phnZ	AG-891-L07_2_6_3395_3973_F	AG-891-L07	2	6	3395	3973	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-891-L07_2_7_3970_5115_R	AG-891-L07	2	7	3970	5115	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-891-L07_2_9_5889_7628_R	AG-891-L07	2	9	5889	7628	R	TIGR03262	709.2	4.5e-215	708.9	5.4e-215
phnT2	AG-891-L07_2_10_7633_8739_R	AG-891-L07	2	10	7633	8739	R	TIGR03265	473	7.2e-144	472.8	8.2e-144
phnS2	AG-891-L07_2_11_8821_9873_R	AG-891-L07	2	11	8821	9873	R	TIGR03261	459.5	7.3e-140	459.3	8.7e-140
phnZ	AG-891-L11_6_60_40727_41305_F	AG-891-L11	6	60	40727	41305	F	PF01966.21	25.7	1e-5	25.2	1.5e-5
hpnW	AG-891-L11_6_61_41302_42447_R	AG-891-L11	6	61	41302	42447	R	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnU2	AG-891-L11_6_63_43223_44947_R	AG-891-L11	6	63	43223	44947	R	TIGR03262	706.1	3.8e-214	705.9	4.4e-214
hpnW	AG-891-N06_9_3_1348_2493_F	AG-891-N06	9	3	1348	2493	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-891-N06_9_4_2490_2984_R	AG-891-N06	9	4	2490	2984	R	PF01966.21	27.8	2.2e-6	27.6	2.6e-6
phnZ	AG-892-A16_14_32_18786_19304_F	AG-892-A16	14	32	18786	19304	F	PF01966.21	27.7	2.3e-6	27.5	2.8e-6
hpnW	AG-892-A16_14_33_19301_20446_R	AG-892-A16	14	33	19301	20446	R	TIGR03364	418.1	2.3e-127	418	2.6e-127
phnS2	AG-892-C23_12_19_9033_10085_F	AG-892-C23	12	19	9033	10085	F	TIGR03261	460.3	4.3e-140	460	5.2e-140
phnT2	AG-892-C23_12_20_10167_11273_F	AG-892-C23	12	20	10167	11273	F	TIGR03265	472.9	7.6e-144	472.7	8.7e-144
phnU2	AG-892-C23_12_21_11278_13017_F	AG-892-C23	12	21	11278	13017	F	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
hpnW	AG-892-C23_12_23_13792_14937_F	AG-892-C23	12	23	13792	14937	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-892-C23_12_24_14934_15512_R	AG-892-C23	12	24	14934	15512	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnU2	AG-892-E20_2_1_3_1634_F	AG-892-E20	2	1	3	1634	F	TIGR03262	695.8	5.2e-211	695.6	5.8e-211
hpnW	AG-892-E20_2_3_2409_3554_F	AG-892-E20	2	3	2409	3554	F	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-892-E20_2_4_3551_4129_R	AG-892-E20	2	4	3551	4129	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-892-G17_26_6_1974_3002_F	AG-892-G17	26	6	1974	3002	F	TIGR03261	458.7	1.3e-139	458.5	1.5e-139
phnT2	AG-892-G17_26_7_3084_4190_F	AG-892-G17	26	7	3084	4190	F	TIGR03265	473.2	6.3e-144	473	7.2e-144
phnU2	AG-892-G17_26_8_4195_5934_F	AG-892-G17	26	8	4195	5934	F	TIGR03262	706	4e-214	705.8	4.7e-214
hpnW	AG-892-G17_26_10_6710_7855_F	AG-892-G17	26	10	6710	7855	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-892-G17_26_11_7852_8430_R	AG-892-G17	26	11	7852	8430	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-892-L02_21_16_7613_8641_F	AG-892-L02	21	16	7613	8641	F	TIGR03261	458.7	1.3e-139	458.5	1.5e-139
phnT2	AG-892-L02_21_17_8723_9829_F	AG-892-L02	21	17	8723	9829	F	TIGR03265	471.1	2.8e-143	470.9	3.2e-143
phnU2	AG-892-L02_21_18_9834_11573_F	AG-892-L02	21	18	9834	11573	F	TIGR03262	703.2	2.9e-213	702.9	3.4e-213
hpnW	AG-892-L02_21_20_12348_13493_F	AG-892-L02	21	20	12348	13493	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-892-L02_21_21_13490_14068_R	AG-892-L02	21	21	13490	14068	R	PF01966.21	28.2	1.7e-6	27.7	2.4e-6
phnS2	AG-892-L04_2_21_11187_12239_F	AG-892-L04	2	21	11187	12239	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-892-L04_2_22_12321_13427_F	AG-892-L04	2	22	12321	13427	F	TIGR03265	473.2	6e-144	473.1	6.9000000000000006e-144
phnU2	AG-892-L04_2_23_13432_15171_F	AG-892-L04	2	23	13432	15171	F	TIGR03262	706.6	2.7e-214	706.3	3.3e-214
hpnW	AG-892-L04_2_25_15946_17091_F	AG-892-L04	2	25	15946	17091	F	TIGR03364	420.3	5e-128	420.1	5.6e-128
phnZ	AG-892-L04_2_26_17088_17666_R	AG-892-L04	2	26	17088	17666	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-892-O15_23_18_8440_9018_F	AG-892-O15	23	18	8440	9018	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-892-O15_23_19_9015_10160_R	AG-892-O15	23	19	9015	10160	R	TIGR03364	421.8	1.8e-128	421.6	2e-128
phnZ	AG-893-G11_5_19_10516_11094_F	AG-893-G11	5	19	10516	11094	F	PF01966.21	27.5	2.7e-6	27.1	3.8e-6
hpnW	AG-893-G11_5_20_11091_12236_R	AG-893-G11	5	20	11091	12236	R	TIGR03364	421.4	2.3e-128	421.2	2.6e-128
phnU2	AG-893-G11_5_22_13011_14750_R	AG-893-G11	5	22	13011	14750	R	TIGR03262	706.6	2.7e-214	706.3	3.3e-214
phnT2	AG-893-G11_5_23_14755_15861_R	AG-893-G11	5	23	14755	15861	R	TIGR03265	473.2	6.3e-144	473	7.2e-144
phnS2	AG-893-G11_5_24_15943_17016_R	AG-893-G11	5	24	15943	17016	R	TIGR03261	458.7	1.3e-139	458.5	1.5e-139
phnZ	AG-893-I14_43_3_1397_1975_F	AG-893-I14	43	3	1397	1975	F	PF01966.21	28.8	1.1e-6	28.2	1.6e-6
hpnW	AG-893-I14_43_4_1972_3117_R	AG-893-I14	43	4	1972	3117	R	TIGR03364	420.2	5.2e-128	420.1	5.9e-128
phnZ	AG-893-J15_5_57_42996_43574_F	AG-893-J15	5	57	42996	43574	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-893-J15_5_58_43571_44716_R	AG-893-J15	5	58	43571	44716	R	TIGR03364	420.3	5e-128	420.1	5.6e-128
phnU2	AG-893-J15_5_60_45491_47230_R	AG-893-J15	5	60	45491	47230	R	TIGR03262	706.6	2.7e-214	706.3	3.3e-214
phnT2	AG-893-J15_5_61_47235_48341_R	AG-893-J15	5	61	47235	48341	R	TIGR03265	473.2	6.3e-144	473	7.2e-144
phnS2	AG-893-J15_5_62_48423_49475_R	AG-893-J15	5	62	48423	49475	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnS2	AG-893-J19_5_51_32723_33775_F	AG-893-J19	5	51	32723	33775	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-893-J19_5_52_33857_34963_F	AG-893-J19	5	52	33857	34963	F	TIGR03265	472.8	8.5e-144	472.6	9.7e-144
phnU2	AG-893-J19_5_53_34947_36707_F	AG-893-J19	5	53	34947	36707	F	TIGR03262	705.4	6.3e-214	705.1	7.5e-214
hpnW	AG-893-J19_5_55_37482_38627_F	AG-893-J19	5	55	37482	38627	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-893-J19_5_56_38624_39202_R	AG-893-J19	5	56	38624	39202	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-893-J23_25_3_1325_1903_F	AG-893-J23	25	3	1325	1903	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-893-J23_25_4_1900_3045_R	AG-893-J23	25	4	1900	3045	R	TIGR03364	420.1	6e-128	419.9	6.7e-128
phnU2	AG-893-J23_25_6_3819_5390_R	AG-893-J23	25	6	3819	5390	R	TIGR03262	673.1	3.8e-204	672.9	4.2e-204
phnS2	AG-893-M02_1_14_6933_7985_F	AG-893-M02	1	14	6933	7985	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-893-M02_1_15_8067_9173_F	AG-893-M02	1	15	8067	9173	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-893-M02_1_16_9178_10917_F	AG-893-M02	1	16	9178	10917	F	TIGR03262	706	4e-214	705.8	4.7e-214
hpnW	AG-893-M02_1_18_11693_12838_F	AG-893-M02	1	18	11693	12838	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-893-M02_1_19_12835_13413_R	AG-893-M02	1	19	12835	13413	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-893-M04_1_111_82597_83175_F	AG-893-M04	1	111	82597	83175	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-893-M04_1_112_83172_84317_R	AG-893-M04	1	112	83172	84317	R	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnU2	AG-893-M04_1_114_85092_86831_R	AG-893-M04	1	114	85092	86831	R	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
phnT2	AG-893-M04_1_115_86836_87942_R	AG-893-M04	1	115	86836	87942	R	TIGR03265	472.8	8.5e-144	472.6	9.7e-144
phnS2	AG-893-M04_1_116_88024_89076_R	AG-893-M04	1	116	88024	89076	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnS2	AG-893-O23_1_50_28080_29132_F	AG-893-O23	1	50	28080	29132	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-893-O23_1_51_29214_30320_F	AG-893-O23	1	51	29214	30320	F	TIGR03265	473.8	4e-144	473.6	4.6e-144
phnU2	AG-893-O23_1_52_30325_32064_F	AG-893-O23	1	52	30325	32064	F	TIGR03262	706.6	2.7e-214	706.4	3.1e-214
hpnW	AG-893-O23_1_54_32839_33984_F	AG-893-O23	1	54	32839	33984	F	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnZ	AG-893-O23_1_55_33981_34559_R	AG-893-O23	1	55	33981	34559	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-893-P17_11_42_28333_29361_F	AG-893-P17	11	42	28333	29361	F	TIGR03261	457.8	2.4e-139	457.6	2.8e-139
phnT2	AG-893-P17_11_43_29443_30549_F	AG-893-P17	11	43	29443	30549	F	TIGR03265	473.4	5.6e-144	473.2	6.4e-144
phnU2	AG-893-P17_11_44_30554_32293_F	AG-893-P17	11	44	30554	32293	F	TIGR03262	705.7	5.2e-214	705.4	6.1e-214
hpnW	AG-893-P17_11_46_33067_34212_F	AG-893-P17	11	46	33067	34212	F	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-893-P17_11_47_34209_34787_R	AG-893-P17	11	47	34209	34787	R	PF01966.21	29.8	5.3e-7	29.2	8e-7
phnS2	AG-894-B21_19_5_2752_3804_F	AG-894-B21	19	5	2752	3804	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-894-B21_19_6_3886_4992_F	AG-894-B21	19	6	3886	4992	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-894-B21_19_7_4997_6736_F	AG-894-B21	19	7	4997	6736	F	TIGR03262	705	8.3e-214	704.7	9.8e-214
hpnW	AG-894-B21_19_9_7510_8655_F	AG-894-B21	19	9	7510	8655	F	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnZ	AG-894-B21_19_10_8652_9230_R	AG-894-B21	19	10	8652	9230	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-894-E17_2_9_4337_4915_F	AG-894-E17	2	9	4337	4915	F	PF01966.21	27.5	2.7e-6	27.1	3.8e-6
hpnW	AG-894-E17_2_10_4912_6057_R	AG-894-E17	2	10	4912	6057	R	TIGR03364	419.9	6.5e-128	419.7	7.4e-128
phnU2	AG-894-E17_2_12_6831_8570_R	AG-894-E17	2	12	6831	8570	R	TIGR03262	706.6	2.7e-214	706.4	3.2e-214
phnT2	AG-894-E17_2_13_8575_9681_R	AG-894-E17	2	13	8575	9681	R	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnS2	AG-894-E17_2_14_9763_10815_R	AG-894-E17	2	14	9763	10815	R	TIGR03261	457.9	2.3e-139	457.6	2.8e-139
hpnW	AG-894-F20_12_3_2022_3167_F	AG-894-F20	12	3	2022	3167	F	TIGR03364	420.7	3.7e-128	420.5	4.2e-128
phnZ	AG-894-F20_12_4_3164_3742_R	AG-894-F20	12	4	3164	3742	R	PF01966.21	28.1	1.8e-6	27.6	2.6e-6
phnZ	AG-894-G16_15_35_24710_25288_F	AG-894-G16	15	35	24710	25288	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-894-G16_15_36_25285_26430_R	AG-894-G16	15	36	25285	26430	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-894-G16_15_38_27204_28943_R	AG-894-G16	15	38	27204	28943	R	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
phnT2	AG-894-G16_15_39_28948_30054_R	AG-894-G16	15	39	28948	30054	R	TIGR03265	473.3	5.8e-144	473.1	6.7e-144
phnS2	AG-894-G16_15_40_30136_31188_R	AG-894-G16	15	40	30136	31188	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnS2	AG-894-O05_18_15_7640_8692_F	AG-894-O05	18	15	7640	8692	F	TIGR03261	459.1	9.9e-140	458.8	1.2e-139
phnT2	AG-894-O05_18_16_8774_9880_F	AG-894-O05	18	16	8774	9880	F	TIGR03265	471.3	2.4e-143	471.1	2.7e-143
phnU2	AG-894-O05_18_17_9885_11624_F	AG-894-O05	18	17	9885	11624	F	TIGR03262	704.9	8.5e-214	704.7	1e-213
hpnW	AG-894-O05_18_19_12398_13543_F	AG-894-O05	18	19	12398	13543	F	TIGR03364	419.7	7.6e-128	419.5	8.6e-128
phnZ	AG-894-O05_18_20_13540_14118_R	AG-894-O05	18	20	13540	14118	R	PF01966.21	28.1	1.8e-6	27.6	2.6e-6
phnZ	AG-894-O08_16_40_18996_19574_F	AG-894-O08	16	40	18996	19574	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-894-O08_16_41_19571_20716_R	AG-894-O08	16	41	19571	20716	R	TIGR03364	420.8	3.6e-128	420.6	4e-128
phnU2	AG-894-O08_16_43_21490_23229_R	AG-894-O08	16	43	21490	23229	R	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
phnT2	AG-894-O08_16_44_23234_24340_R	AG-894-O08	16	44	23234	24340	R	TIGR03265	471.2	2.6e-143	471	2.9e-143
phnS2	AG-894-O08_16_45_24422_25474_R	AG-894-O08	16	45	24422	25474	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnU2	AG-894-P13_31_1_1_1515_F	AG-894-P13	31	1	1	1515	F	TIGR03262	651.9	1e-197	651.7	1.1e-197
hpnW	AG-894-P13_31_3_2290_3435_F	AG-894-P13	31	3	2290	3435	F	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-894-P13_31_4_3432_4010_R	AG-894-P13	31	4	3432	4010	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-895-A04_4_56_41584_42636_F	AG-895-A04	4	56	41584	42636	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-895-A04_4_57_42718_43824_F	AG-895-A04	4	57	42718	43824	F	TIGR03265	473.2	6.3e-144	473	7.2e-144
phnU2	AG-895-A04_4_58_43808_45568_F	AG-895-A04	4	58	43808	45568	F	TIGR03262	705.8	4.7e-214	705.5	5.6e-214
hpnW	AG-895-A04_4_60_46342_47487_F	AG-895-A04	4	60	46342	47487	F	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-895-A04_4_61_47484_48062_R	AG-895-A04	4	61	47484	48062	R	PF01966.21	27.6	2.7e-6	27.1	3.8e-6
