user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
AG-426-D15	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	GCA_002501885.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	99.0	0.77	GCA_002501885.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	99.0	0.77	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002503055.1, s__Thalassarchaeum sp002503055, 95.0, 89.31, 0.78; GCA_002727275.1, s__Thalassarchaeum sp002727275, 95.0, 80.72, 0.56; GCA_002714745.1, s__Thalassarchaeum sp002714745, 95.0, 79.68, 0.48; GCA_002698225.1, s__Thalassarchaeum sp002698225, 95.0, 78.57, 0.36	42.04	11	N/A	N/A
AG-410-K20	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	GCA_002501885.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	98.68	0.76	GCA_002501885.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	98.68	0.76	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002503055.1, s__Thalassarchaeum sp002503055, 95.0, 89.59, 0.78; GCA_002727275.1, s__Thalassarchaeum sp002727275, 95.0, 80.42, 0.61; GCA_002714745.1, s__Thalassarchaeum sp002714745, 95.0, 79.59, 0.48; GCA_002698225.1, s__Thalassarchaeum sp002698225, 95.0, 78.54, 0.38; GCA_004195715.1, s__Thalassarchaeum sp004195715, 95.0, 77.54, 0.19; GCA_003193925.1, s__Thalassarchaeum betae, 95.0, 77.08, 0.11; GCA_002457605.1, s__Thalassarchaeum sp002457605, 95.0, 77.05, 0.2; GCA_002505325.1, s__Thalassarchaeum sp002505325, 95.0, 76.5, 0.14	65.85	11	N/A	N/A
AH-326-K21	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	GCA_002501885.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	97.3	0.79	GCA_002501885.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885	97.3	0.79	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002503055.1, s__Thalassarchaeum sp002503055, 95.0, 89.69, 0.78; GCA_002727275.1, s__Thalassarchaeum sp002727275, 95.0, 80.64, 0.59; GCA_002714745.1, s__Thalassarchaeum sp002714745, 95.0, 79.71, 0.49; GCA_002698225.1, s__Thalassarchaeum sp002698225, 95.0, 78.73, 0.38	43.58	11	N/A	N/A
AG-414-K06	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002727275	GCA_002727275.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002727275	98.07	0.83	GCA_002727275.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002727275	98.07	0.83	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002714745.1, s__Thalassarchaeum sp002714745, 95.0, 81.59, 0.52; GCA_002503055.1, s__Thalassarchaeum sp002503055, 95.0, 81.43, 0.64; GCA_002501885.1, s__Thalassarchaeum sp002501885, 95.0, 80.39, 0.57; GCA_002698225.1, s__Thalassarchaeum sp002698225, 95.0, 79.73, 0.45; GCA_004195715.1, s__Thalassarchaeum sp004195715, 95.0, 77.55, 0.24; GCA_002457605.1, s__Thalassarchaeum sp002457605, 95.0, 77.33, 0.16; GCA_002505325.1, s__Thalassarchaeum sp002505325, 95.0, 77.12, 0.18; GCA_002495735.1, s__Thalassarchaeum sp002495735, 95.0, 77.01, 0.17; GCA_003193925.1, s__Thalassarchaeum betae, 95.0, 76.31, 0.17	49.73	11	N/A	N/A
AG-343-F04	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002714745	GCA_002714745.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002714745	98.42	0.73	GCA_002714745.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002714745	98.42	0.73	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002727275.1, s__Thalassarchaeum sp002727275, 95.0, 81.46, 0.57; GCA_002698225.1, s__Thalassarchaeum sp002698225, 95.0, 81.29, 0.56; GCA_002503055.1, s__Thalassarchaeum sp002503055, 95.0, 80.78, 0.64; GCA_002501885.1, s__Thalassarchaeum sp002501885, 95.0, 80.1, 0.57; GCA_002457605.1, s__Thalassarchaeum sp002457605, 95.0, 77.58, 0.15; GCA_004195715.1, s__Thalassarchaeum sp004195715, 95.0, 77.56, 0.27; GCA_002495735.1, s__Thalassarchaeum sp002495735, 95.0, 76.57, 0.26	29.64	11	N/A	N/A
AG-457-C15	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002714745	GCA_002714745.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002714745	95.69	0.69	GCA_002714745.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002714745	95.69	0.69	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002727275.1, s__Thalassarchaeum sp002727275, 95.0, 81.86, 0.61; GCA_002698225.1, s__Thalassarchaeum sp002698225, 95.0, 80.7, 0.58; GCA_002503055.1, s__Thalassarchaeum sp002503055, 95.0, 80.46, 0.63; GCA_002501885.1, s__Thalassarchaeum sp002501885, 95.0, 79.84, 0.55; GCA_002457605.1, s__Thalassarchaeum sp002457605, 95.0, 78.17, 0.21; GCA_004195715.1, s__Thalassarchaeum sp004195715, 95.0, 78.05, 0.27; GCA_002505325.1, s__Thalassarchaeum sp002505325, 95.0, 77.96, 0.19; GCA_002507125.1, s__Thalassarchaeum sp002507125, 95.0, 77.9, 0.18; GCA_003193925.1, s__Thalassarchaeum betae, 95.0, 77.8, 0.21; GCA_002495735.1, s__Thalassarchaeum sp002495735, 95.0, 77.45, 0.24	49.3	11	N/A	N/A
AG-447-F23	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002495525	GCA_002495525.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002495525	96.04	0.77	GCA_002495525.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002495525	96.04	0.77	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 87.59, 0.8; GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 87.53, 0.52; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 85.88, 0.45; GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 83.01, 0.83; GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 81.78, 0.79; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 79.81, 0.65; GCA_002494975.1, s__MGIIb-O2 sp002494975, 95.0, 79.15, 0.37	28.55	11	N/A	N/A
AG-439-N22	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002497245	GCA_002497245.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002497245	99.3	0.88	GCA_002497245.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002497245	99.3	0.88	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 83.53, 0.89; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 82.79, 0.76; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 82.66, 0.63; GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 82.37, 0.49; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 82.12, 0.59; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 80.41, 0.61; GCA_002494975.1, s__MGIIb-O2 sp002494975, 95.0, 78.18, 0.35	47.91	11	N/A	N/A
AG-333-J02	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002497245	GCA_002497245.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002497245	98.64	0.87	GCA_002497245.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002497245	98.64	0.87	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 83.13, 0.84; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 82.6, 0.63; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 82.24, 0.82; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 81.83, 0.51; GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 81.74, 0.52; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 79.95, 0.53; GCA_002494975.1, s__MGIIb-O2 sp002494975, 95.0, 77.31, 0.12	19.44	11	N/A	N/A
AG-453-I14	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002504905	GCA_002504905.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002504905	99.14	0.97	GCA_002504905.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002504905	99.14	0.97	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 83.23, 0.86; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 81.79, 0.72; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 81.77, 0.64; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 80.85, 0.62; GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 80.73, 0.51; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 79.65, 0.58	17.78	11	N/A	N/A
AG-447-P04	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002686525	GCA_002686525.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002686525	96.94	0.76	GCA_002686525.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002686525	96.94	0.76	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 80.23, 0.66; GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 79.9, 0.63; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 79.76, 0.52; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 79.73, 0.59; GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 79.56, 0.45; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 79.33, 0.41; GCA_002494975.1, s__MGIIb-O2 sp002494975, 95.0, 77.98, 0.34	70.45	11	N/A	N/A
AG-390-L02	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002686525	GCA_002686525.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002686525	97.16	0.8	GCA_002686525.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002686525	97.16	0.8	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 80.53, 0.69; GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 80.4, 0.65; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 80.03, 0.58; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 79.98, 0.55; GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 79.83, 0.42; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 79.4, 0.46; GCA_002494975.1, s__MGIIb-O2 sp002494975, 95.0, 78.16, 0.31	53.88	11	N/A	N/A
AG-319-L10	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	96.7	0.79	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	96.7	0.79	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 79.09, 0.39; GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 79.08, 0.32; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 78.73, 0.43; GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 78.65, 0.49; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 78.62, 0.32; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 78.35, 0.37; GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 78.2, 0.42	18.81	11	N/A	N/A
AG-319-G23	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	97.76	0.69	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	97.76	0.69	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 79.14, 0.27; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 79.02, 0.33; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 78.79, 0.4; GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 78.68, 0.4; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 78.61, 0.3; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 78.46, 0.32; GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 78.46, 0.38	56.6	11	N/A	N/A
AG-319-J13	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	97.33	0.67	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	97.33	0.67	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 79.49, 0.33; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 79.17, 0.34; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 79.08, 0.43; GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 78.84, 0.42; GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 78.57, 0.45; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 78.51, 0.3; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 78.36, 0.33	56.87	11	N/A	N/A
AG-319-G18	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	97.67	0.74	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	97.67	0.74	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 78.75, 0.33; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 78.7, 0.35; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 78.6, 0.42; GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 78.44, 0.41; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 78.33, 0.29; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 78.3, 0.32; GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 78.2, 0.42	61.12	11	N/A	N/A
AG-319-A08	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	97.16	0.7	GCA_002494975.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002494975	97.16	0.7	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002685315.1, s__MGIIb-O2 sp002685315, 95.0, 79.19, 0.3; GCA_002504905.1, s__MGIIb-O2 sp002504905, 95.0, 78.94, 0.42; GCA_002495525.1, s__MGIIb-O2 sp002495525, 95.0, 78.9, 0.41; GCA_002497245.1, s__MGIIb-O2 sp002497245, 95.0, 78.86, 0.42; GCA_002498985.1, s__MGIIb-O2 sp002498985, 95.0, 78.67, 0.35; GCA_002686525.1, s__MGIIb-O2 sp002686525, 95.0, 78.38, 0.32; GCA_002730775.1, s__MGIIb-O2 sp002730775, 95.0, 78.35, 0.3	49.98	11	N/A	N/A
AG-426-N16	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002502175	GCA_002502175.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002502175	95.23	0.82	GCA_002502175.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002502175	95.23	0.82	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002496905.1, s__MGIIb-O1 sp002496905, 95.0, 92.49, 0.79; GCA_002685415.1, s__MGIIb-O1 sp002685415, 95.0, 87.21, 0.71; GCA_002497025.1, s__MGIIb-O1 sp002497025, 95.0, 86.14, 0.77; GCA_002457555.1, s__MGIIb-O1 sp002457555, 95.0, 84.93, 0.79; GCA_002502365.1, s__MGIIb-O1 sp002502365, 95.0, 83.26, 0.58; GCA_002708385.1, s__MGIIb-O1 sp002708385, 95.0, 82.57, 0.5; GCA_002498725.1, s__MGIIb-O1 sp002498725, 95.0, 77.61, 0.18; GCA_002497895.1, s__MGIIb-O1 sp002497895, 95.0, 77.3, 0.18; GCA_013329905.1, s__MGIIb-O1 sp8684u, 95.0, 76.98, 0.2; GCA_002457595.1, s__MGIIb-O1 sp002457595, 95.0, 76.37, 0.12	72.09	11	N/A	N/A
AG-426-O15	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002685415	GCA_002685415.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002685415	96.29	0.7	GCA_002685415.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002685415	96.29	0.7	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002502175.1, s__MGIIb-O1 sp002502175, 95.0, 87.3, 0.75; GCA_002496905.1, s__MGIIb-O1 sp002496905, 95.0, 86.23, 0.67; GCA_002497025.1, s__MGIIb-O1 sp002497025, 95.0, 82.83, 0.72; GCA_002457555.1, s__MGIIb-O1 sp002457555, 95.0, 81.98, 0.72; GCA_002708385.1, s__MGIIb-O1 sp002708385, 95.0, 81.22, 0.4; GCA_002502365.1, s__MGIIb-O1 sp002502365, 95.0, 81.19, 0.4; GCA_013329905.1, s__MGIIb-O1 sp8684u, 95.0, 77.26, 0.19	46.37	11	N/A	N/A
