genome	mpns	pepm
DSM7084	0	1
DSM7299	0	1
DSM7488	0	1
EAC121	0	1
EAC1785	0	1
EAC1786	0	1
EAC36	0	1
EAC64	0	1
EAC654	0	1
HTCC7217	1	1
MED	0	1
MED1153	0	1
MED605	1	1
MED605	1	1
MED641	0	1
MED656	0	1
MED660	0	1
MED672	0	1
MED675	0	1
MED743	0	1
MED784	1	1
MED784	1	1
MED821	0	1
MMP00000032	1	1
MMP00060985	0	1
MMP00713578	0	1
MMP02469388	0	1
MMP02469391	0	1
MMP02471010	0	1
MMP02598295	0	1
MMP02598300	0	1
MMP02598329	0	1
MMP02598510	0	1
MMP02598531	0	1
MMP02604303	0	1
MMP03009086	0	1
MMP03699827	0	1
MMP04909702	0	1
MMP05282066	0	1
MMP05428979	0	1
MMP05826283	0	1
MMP05826284	0	1
MMP06075352	0	1
MMP06240846	0	1
MMP06323808	0	1
MMP08161523	0	1
MMP3245995	0	1
NAT172	0	1
NAT182	0	1
NAT185	1	1
NAT198	0	1
NAT220	0	1
NAT221	0	1
NAT226	0	1
NAT232	0	1
NAT241	0	1
NAT267	1	1
NAT267	1	1
NAT267	1	1
NAT278	0	1
NAT441	1	1
NAT503	1	1
NAT7	0	1
NAT74	0	1
NP1051	0	1
NP1069	0	1
NP1106	0	1
NP113	0	1
NP1207	0	1
NP124	0	1
NP153	0	1
NP21	0	1
NP37	0	1
NP69	0	1
NP85	0	1
NP86	0	1
NP931	0	1
NP931	0	1
NP932	0	1
NP956	1	1
NP978	0	1
REDSEA-S03_B5	0	1
REDSEA-S12_B4	0	1
REDSEA-S28_B5	0	1
RS361	0	1
RS374	0	1
RS382	0	1
RS386	0	1
RS40	0	1
RS410	0	1
RS434	0	1
RS451	0	1
RS451	0	1
RS457	0	1
RS510	0	1
RS678	0	1
RS697	1	1
RS726	0	1
RS813	0	1
SAT124	0	1
SAT126	0	1
SAT1367	0	1
SAT1446	0	1
SAT1489	1	1
SAT15	0	1
SAT1507	0	1
SAT157	1	1
SAT201	0	1
SAT204	0	1
SAT207	1	1
SAT207	1	1
SAT2734	0	1
SAT2788	0	1
SAT42	0	1
SAT45	0	1
SAT91	0	1
SB	0	1
SP106	1	1
SP115	0	1
SP118	0	1
SP125	0	1
SP154	0	1
SP173	0	1
SP18	0	1
SP196	0	1
SP196	0	1
SP21	0	1
SP218	1	1
SP23	0	1
SP23	0	1
SP232	0	1
SP248	0	1
SP25	0	1
SP253	1	1
SP253	1	1
SP253	1	1
SP253	1	1
SP253	1	1
SP253	1	1
SP257	0	1
SP265	0	1
SP267	0	1
SP276	0	1
SP283	0	1
SP289	0	1
SP2972	0	1
SP2986	0	1
SP3	0	1
SP3029	0	1
SP3062	0	1
SP310	0	1
SP335	0	1
SP354	0	1
SP38	0	1
SP4044	0	1
SP4045	0	1
SP4045	0	1
SP48	0	1
SP8	1	1
specI-1007103	0	1
specI-103733	0	1
specI-1037911	0	1
specI-1040986	0	1
specI-1041147	0	1
specI-1041159	0	1
specI-1042163	0	1
specI-1045858	0	1
specI-1054213	0	1
specI-1054217	0	1
specI-1056816	0	1
specI-1070319	0	1
specI-1071679	0	1
specI-1079460	0	1
specI-1082705	0	1
specI-1087481	0	1
specI-1094184	0	1
specI-1097668	0	1
specI-1111479	0	1
specI-1112274	0	1
specI-1116232	0	1
specI-1116232	0	1
specI-1116472	0	1
specI-1117108	0	1
specI-1118054	0	1
specI-1121014	0	1
specI-1121104	0	1
specI-1121114	0	1
specI-1121121	0	1
specI-1121127	0	1
specI-1121433	0	1
specI-1121930	0	1
specI-1122211	0	1
specI-1122236	0	1
specI-1122604	0	1
specI-1122614	0	1
specI-1122927	0	1
specI-1123052	0	1
specI-1123060	0	1
specI-1123250	0	1
specI-1123252	0	1
specI-1123274	0	1
specI-1123355	0	1
specI-1124983	0	1
specI-1125699	0	1
specI-1125725	0	1
specI-1127695	0	1
specI-1131269	0	1
specI-1133849	1	1
specI-1137268	0	1
specI-1141662	0	1
specI-1151127	0	1
specI-1157637	0	1
specI-1157638	0	1
specI-1169143	0	1
specI-1169161	0	1
specI-1172562	0	1
specI-1192124	0	1
specI-1196322	0	1
specI-1200557	0	1
specI-1200567	0	1
specI-1203602	0	1
specI-1204340	0	1
specI-1206731	1	1
specI-1206735	0	1
specI-1212819	0	1
specI-1212819	0	1
specI-1214101	0	1
specI-1217718	0	1
specI-1217720	0	1
specI-1218074	0	1
specI-1218075	0	1
specI-1218076	0	1
specI-1218078	0	1
specI-1218084	0	1
specI-1223570	0	1
specI-1229205	0	1
specI-1232451	0	1
specI-1234664	0	1
specI-1235797	0	1
specI-1235835	0	1
specI-1236516	0	1
specI-1245469	0	1
specI-1266370	0	1
specI-1280666	0	1
specI-1280692	0	1
specI-1282356	0	1
specI-1286093	0	1
specI-1287182	0	1
specI-1287182	0	1
specI-1295642	0	1
specI-1297569	0	1
specI-1298859	0	1
specI-1304275	0	1
specI-1306406	0	1
specI-1306990	0	1
specI-1308866	0	1
specI-1321786	0	1
specI-132474	1	1
specI-1325130	0	1
specI-1336208	0	1
specI-1341157	0	1
specI-1345695	0	1
specI-1347368	0	1
specI-1348663	0	1
specI-1353529	0	1
specI-1354301	0	1
specI-1355368	0	1
specI-1357272	0	1
specI-1357279	0	1
specI-1357400	0	1
specI-1366050	0	1
specI-1380394	0	1
specI-1380770	0	1
specI-1384065	0	1
specI-1387312	0	1
specI-1388763	0	1
specI-1392491	0	1
specI-1397282	0	1
specI-140626	0	1
specI-1408304	0	1
specI-1408305	0	1
specI-1408319	0	1
specI-1408324	0	1
specI-1408430	0	1
specI-1408437	0	1
specI-1410609	0	1
specI-1410617	0	1
specI-1410631	0	1
specI-1410633	0	1
specI-1410638	0	1
specI-1410650	0	1
specI-1410666	0	1
specI-1410671	0	1
specI-1410676	0	1
specI-1415541	0	1
specI-1415542	0	1
specI-1415544	0	1
specI-1415545	0	1
specI-1415546	0	1
specI-1415549	0	1
specI-1415550	0	1
specI-1415551	0	1
specI-1415552	0	1
specI-1415554	0	1
specI-1415555	0	1
specI-1415556	0	1
specI-1415557	0	1
specI-1415559	0	1
specI-1415560	0	1
specI-1415561	0	1
specI-1415562	0	1
specI-1415563	0	1
specI-1415626	0	1
specI-1415755	0	1
specI-1423686	0	1
specI-1427391	0	1
specI-1449976	0	1
specI-1458357	0	1
specI-145996	0	1
specI-1461693	0	1
specI-1463821	0	1
specI-1463825	0	1
specI-1463826	1	1
specI-1463827	0	1
specI-1463828	0	1
specI-1463829	0	1
specI-1463830	0	1
specI-1463831	0	1
specI-1463834	0	1
specI-1463835	0	1
specI-1463839	0	1
specI-1463840	0	1
specI-1463841	0	1
specI-1463842	0	1
specI-1463843	0	1
specI-1463846	0	1
specI-1463847	0	1
specI-1463848	0	1
specI-1463849	0	1
specI-1463850	0	1
specI-1463856	0	1
specI-1463861	0	1
specI-1463863	0	1
specI-1463865	0	1
specI-1463866	0	1
specI-1463869	0	1
specI-1463870	0	1
specI-1463874	0	1
specI-1463875	0	1
specI-1463877	0	1
specI-1463878	0	1
specI-1463879	0	1
specI-1463880	0	1
specI-1463881	0	1
specI-1463885	0	1
specI-1463886	0	1
specI-1463888	0	1
specI-1463890	0	1
specI-1463891	0	1
specI-1463893	0	1
specI-1463894	0	1
specI-1463895	0	1
specI-1463896	0	1
specI-1463897	0	1
specI-1463905	0	1
specI-1463906	0	1
specI-1463907	0	1
specI-1463908	0	1
specI-1463909	0	1
specI-1463911	0	1
specI-1463912	0	1
specI-1463913	0	1
specI-1463914	0	1
specI-1463915	0	1
specI-1463917	0	1
specI-1463918	0	1
specI-1463920	0	1
specI-1463921	0	1
specI-1463922	0	1
specI-1463923	0	1
specI-1463924	0	1
specI-1463925	0	1
specI-1463927	0	1
specI-1463928	0	1
specI-1463929	1	1
specI-1463930	1	1
specI-1463931	1	1
specI-1463933	0	1
specI-1463935	0	1
specI-1463936	1	1
specI-1463936	1	1
specI-1463979	0	1
specI-1464056	1	1
specI-1464077	0	1
specI-1464079	1	1
specI-146922	1	1
specI-1472716	0	1
specI-1487953	0	1
specI-1499689	0	1
specI-1500897	0	1
specI-1501230	0	1
specI-1519471	0	1
specI-1519473	1	1
specI-1519475	1	1
specI-1519476	0	1
specI-1519477	0	1
specI-1519478	0	1
specI-1519479	0	1
specI-1519480	0	1
specI-1519481	0	1
specI-1519482	0	1
specI-1519483	0	1
specI-1519485	0	1
specI-1519486	0	1
specI-1519487	0	1
specI-1519488	0	1
specI-1519489	1	1
specI-1519490	0	1
specI-1519491	0	1
specI-1519492	0	1
specI-1519493	0	1
specI-1519494	0	1
specI-1519495	0	1
specI-1519496	0	1
specI-1519497	0	1
specI-1519498	0	1
specI-1548018	0	1
specI-158189	0	1
specI-158190	0	1
specI-159290	0	1
specI-159450	0	1
specI-1609104	0	1
specI-1609133	0	1
specI-1609134	0	1
specI-1609135	0	1
specI-1609137	0	1
specI-1615590	0	1
specI-1677920	0	1
specI-1820025	0	1
specI-1820025	0	1
specI-1820025	0	1
specI-1890	0	1
specI-1892	0	1
specI-1896	0	1
specI-189753	0	1
specI-1905730	0	1
specI-1914	0	1
specI-1927	1	1
specI-193461	0	1
specI-1938	0	1
specI-1950	1	1
specI-1954	0	1
specI-1960	0	1
specI-1961	0	1
specI-196367	0	1
specI-1993	0	1
specI-2065	1	1
specI-2066	0	1
specI-2074	0	1
specI-211165	0	1
specI-212717	0	1
specI-213810	0	1
specI-216591	0	1
specI-218491	0	1
specI-219305	1	1
specI-220664	0	1
specI-221027	0	1
specI-226186	0	1
specI-237368	0	1
specI-243160	0	1
specI-243275	0	1
specI-246199	0	1
specI-247634	0	1
specI-249567	0	1
specI-266264	0	1
specI-266265	0	1
specI-266835	0	1
specI-269482	0	1
specI-272559	0	1
specI-272560	0	1
specI-2754	0	1
specI-281186	0	1
specI-285575	0	1
specI-290402	0	1
specI-292	0	1
specI-311402	0	1
specI-311403	0	1
specI-314270	0	1
specI-314278	0	1
specI-316056	0	1
specI-32057	0	1
specI-325777	0	1
specI-326424	1	1
specI-330214	0	1
specI-334858	1	1
specI-33876	0	1
specI-338966	0	1
specI-339670	0	1
specI-342113	0	1
specI-342113	0	1
specI-349520	0	1
specI-350701	0	1
specI-352165	0	1
specI-35619	1	1
specI-357276	0	1
specI-35754	0	1
specI-358823	0	1
specI-359131	0	1
specI-359159	1	1
specI-363754	0	1
specI-363754	0	1
specI-36816	0	1
specI-371720	1	1
specI-37372	0	1
specI-37372	0	1
specI-37659	0	1
specI-38312	0	1
specI-384676	0	1
specI-388467	0	1
specI-391038	0	1
specI-395019	0	1
specI-397287	0	1
specI-397288	0	1
specI-397291	0	1
specI-398527	0	1
specI-411479	0	1
specI-42198	0	1
specI-428125	0	1
specI-43357	0	1
specI-43759	0	1
specI-439235	0	1
specI-443598	0	1
specI-446470	0	1
specI-449673	0	1
specI-452637	0	1
specI-452652	0	1
specI-463191	0	1
specI-483216	0	1
specI-483218	0	1
specI-500640	0	1
specI-513049	0	1
specI-513049	0	1
specI-537011	0	1
specI-537971	0	1
specI-543632	0	1
specI-545693	0	1
specI-545694	0	1
specI-545695	0	1
specI-546271	0	1
specI-552396	0	1
specI-553184	0	1
specI-555088	0	1
specI-555779	0	1
specI-556267	0	1
specI-561230	0	1
specI-561231	0	1
specI-572265	0	1
specI-572480	0	1
specI-573413	0	1
specI-58116	0	1
specI-58340	0	1
specI-585501	0	1
specI-585503	0	1
specI-589865	0	1
specI-590061	0	1
specI-591158	0	1
specI-591159	1	1
specI-59374	0	1
specI-596324	0	1
specI-60547	0	1
specI-613026	0	1
specI-613026	0	1
specI-622312	0	1
specI-626418	0	1
specI-62928	0	1
specI-632245	0	1
specI-633147	0	1
specI-634503	0	1
specI-638302	0	1
specI-640510	0	1
specI-640511	0	1
specI-640512	0	1
specI-641107	0	1
specI-642492	0	1
specI-65497	0	1
specI-656519	0	1
specI-66429	0	1
specI-664693	0	1
specI-665571	0	1
specI-666686	0	1
specI-66874	0	1
specI-66888	0	1
specI-66897	0	1
specI-67257	1	1
specI-67267	0	1
specI-67275	0	1
specI-67281	0	1
specI-67287	0	1
specI-67297	0	1
specI-67330	0	1
specI-67351	0	1
specI-67352	0	1
specI-67356	0	1
specI-67373	1	1
specI-679201	0	1
specI-68194	0	1
specI-68201	0	1
specI-68223	0	1
specI-68228	0	1
specI-68242	0	1
specI-68244	0	1
specI-68253	0	1
specI-68260	0	1
specI-68263	0	1
specI-68570	1	1
specI-689781	0	1
specI-69484	0	1
specI-696747	0	1
specI-697284	0	1
specI-697329	0	1
specI-698761	0	1
specI-702437	0	1
specI-706191	0	1
specI-711393	0	1
specI-717227	0	1
specI-718255	0	1
specI-73044	0	1
specI-742733	0	1
specI-742741	0	1
specI-744872	0	1
specI-754027	0	1
specI-754502	0	1
specI-758793	0	1
specI-796334	0	1
specI-80858	0	1
specI-80858	0	1
specI-82996	0	1
specI-83378	0	1
specI-84725	0	1
specI-86106	0	1
specI-864563	0	1
specI-86668	0	1
specI-869212	0	1
specI-871203	0	1
specI-877420	0	1
specI-877421	0	1
specI-877424	0	1
specI-879310	0	1
specI-880072	0	1
specI-882085	0	1
specI-882378	0	1
specI-904296	0	1
specI-906968	0	1
specI-913337	0	1
specI-91352	0	1
specI-926551	0	1
specI-927658	0	1
specI-929794	0	1
specI-931276	0	1
specI-93220	0	1
specI-932677	0	1
specI-935543	0	1
specI-935557	0	1
specI-936572	0	1
specI-936573	0	1
specI-944435	0	1
specI-944559	0	1
specI-948106	0	1
specI-95486	0	1
specI-97139	0	1
specI-985665	0	1
specI-985867	0	1
specI-994479	0	1
specI-997346	0	1
specI-999423	0	1
specI-999541	0	1
TMED122	0	1
TMED167	0	1
TMED174	1	1
TMED191	0	1
TMED216	0	1
TMED256	0	1
TMED36	0	1
TMED37	0	1
TMED64	0	1
TMED65	0	1
TMED72	0	1
TMED8	0	1
TMED81	0	1
UBA1016	0	1
UBA1102	0	1
UBA1119	0	1
UBA1136	0	1
UBA1137	0	1
UBA1141	0	1
UBA1151	0	1
UBA1181	0	1
UBA1182	0	1
UBA1189	0	1
UBA1192	0	1
UBA1193	0	1
UBA1202	0	1
UBA1209	0	1
UBA1212	0	1
UBA1213	0	1
UBA1221	0	1
UBA1226	0	1
UBA1233	0	1
UBA1240	0	1
UBA1243	0	1
UBA1244	0	1
UBA1324	0	1
UBA1326	1	1
UBA1340	0	1
UBA1344	0	1
UBA1345	0	1
UBA1361	0	1
UBA1479	0	1
UBA1666	0	1
UBA1684	0	1
UBA1684	0	1
UBA1704	0	1
UBA1706	0	1
UBA1711	0	1
UBA1760	0	1
UBA1829	0	1
UBA1842	0	1
UBA1851	0	1
UBA1954	0	1
UBA1999	0	1
UBA2010	0	1
UBA2027	0	1
UBA208	0	1
UBA2080	0	1
UBA2083	0	1
UBA2126	0	1
UBA2139	0	1
UBA2141	0	1
UBA2153	0	1
UBA2160	0	1
UBA2165	0	1
UBA2167	0	1
UBA2190	0	1
UBA2319	0	1
UBA2330	0	1
UBA2338	0	1
UBA237	0	1
UBA2371	0	1
UBA2440	0	1
UBA2521	0	1
UBA2524	0	1
UBA2526	0	1
UBA2534	0	1
UBA2559	0	1
UBA2588	0	1
UBA2667	0	1
UBA2719	0	1
UBA2721	0	1
UBA2721	0	1
UBA2740	0	1
UBA2762	0	1
UBA2764	0	1
UBA2778	0	1
UBA2783	0	1
UBA2808	0	1
UBA2809	0	1
UBA2827	0	1
UBA2836	0	1
UBA2837	0	1
UBA2838	0	1
UBA2839	0	1
UBA2840	0	1
UBA2845	0	1
UBA2853	0	1
UBA2868	0	1
UBA2876	0	1
UBA2879	0	1
UBA2888	0	1
UBA2899	0	1
UBA2900	0	1
UBA2910	0	1
UBA2913	0	1
UBA2929	0	1
UBA2932	0	1
UBA2942	0	1
UBA2943	0	1
UBA2962	1	1
UBA2963	0	1
UBA2973	1	1
UBA2976	0	1
UBA2988	0	1
UBA3001	0	1
UBA3211	0	1
UBA3216	0	1
UBA3223	0	1
UBA3279	0	1
UBA3282	0	1
UBA3282	0	1
UBA3288	0	1
UBA3299	0	1
UBA3305	0	1
UBA3310	0	1
UBA3311	0	1
UBA3402	0	1
UBA3499	0	1
UBA3504	1	1
UBA3547	0	1
UBA3632	0	1
UBA3644	0	1
UBA3649	0	1
UBA3653	0	1
UBA3660	0	1
UBA3661	0	1
UBA3662	0	1
UBA3662	0	1
UBA3666	0	1
UBA3669	0	1
UBA3672	0	1
UBA3691	0	1
UBA3696	0	1
UBA3700	0	1
UBA3702	0	1
UBA3704	0	1
UBA3706	0	1
UBA3708	0	1
UBA3717	0	1
UBA3730	0	1
UBA3732	0	1
UBA3745	0	1
UBA3754	0	1
UBA3766	0	1
UBA3780	0	1
UBA3781	0	1
UBA3790	0	1
UBA3791	0	1
UBA3795	0	1
UBA3803	0	1
UBA3810	0	1
UBA3814	0	1
UBA3819	0	1
UBA3820	0	1
UBA3821	0	1
UBA3825	0	1
UBA3827	0	1
UBA3828	0	1
UBA3833	0	1
UBA3847	0	1
UBA3850	0	1
UBA3860	0	1
UBA3865	0	1
UBA3920	0	1
UBA3936	0	1
UBA3939	0	1
UBA3940	0	1
UBA4036	0	1
UBA4085	0	1
UBA4108	0	1
UBA4129	0	1
UBA4170	0	1
UBA4180	0	1
UBA4223	0	1
UBA4245	0	1
UBA4248	0	1
UBA4256	0	1
UBA4268	0	1
UBA4273	0	1
UBA4276	0	1
UBA4281	0	1
UBA4295	0	1
UBA4298	0	1
UBA4300	0	1
UBA4310	0	1
UBA4314	0	1
UBA4315	0	1
UBA4324	0	1
UBA4338	0	1
UBA4338	0	1
UBA4342	0	1
UBA4342	0	1
UBA4364	0	1
UBA4371	0	1
UBA4377	0	1
UBA4383	0	1
UBA4392	0	1
UBA4411	0	1
UBA4420	0	1
UBA4455	0	1
UBA4457	0	1
UBA4468	0	1
UBA4479	0	1
UBA4486	0	1
UBA4492	0	1
UBA4548	0	1
UBA4587	1	1
UBA4678	0	1
UBA4697	0	1
UBA4707	0	1
UBA4709	0	1
UBA4713	0	1
UBA4723	0	1
UBA4804	0	1
UBA4898	0	1
UBA4914	0	1
UBA4924	0	1
UBA4935	0	1
UBA5101	0	1
UBA5131	0	1
UBA5152	0	1
UBA5164	0	1
UBA5210	0	1
UBA5212	0	1
UBA5261	0	1
UBA5263	0	1
UBA5282	0	1
UBA5297	0	1
UBA5332	0	1
UBA5332	0	1
UBA5349	0	1
UBA5396	0	1
UBA541	0	1
UBA5423	0	1
UBA5429	0	1
UBA543	0	1
UBA544	0	1
UBA5471	0	1
UBA5479	0	1
UBA5530	0	1
UBA5610	0	1
UBA5685	1	1
UBA5698	0	1
UBA5702	0	1
UBA5783	0	1
UBA5849	0	1
UBA5856	0	1
UBA5879	0	1
UBA5918	0	1
UBA6072	0	1
UBA6081	0	1
UBA6084	0	1
UBA6093	0	1
UBA6123	0	1
UBA6153	0	1
UBA6261	0	1
UBA630	0	1
UBA6328	0	1
UBA6351	0	1
UBA6352	0	1
UBA6366	0	1
UBA6381	0	1
UBA6407	0	1
UBA6429	0	1
UBA6447	0	1
UBA647	0	1
UBA6475	0	1
UBA6488	0	1
UBA6493	0	1
UBA6531	0	1
UBA6537	0	1
UBA6544	0	1
UBA6595	0	1
UBA6605	1	1
UBA6614	0	1
UBA667	0	1
UBA6686	0	1
UBA6697	0	1
UBA6731	0	1
UBA6735	0	1
UBA6836	0	1
UBA6844	0	1
UBA6852	0	1
UBA6890	0	1
UBA6956	0	1
UBA6974	0	1
UBA6976	0	1
UBA6980	0	1
UBA7010	0	1
UBA7027	0	1
UBA7044	0	1
UBA7046	0	1
UBA7076	0	1
UBA7081	0	1
UBA7110	0	1
UBA7113	0	1
UBA7122	0	1
UBA7122	0	1
UBA7129	0	1
UBA7150	0	1
UBA7162	0	1
UBA7170	0	1
UBA7174	0	1
UBA7175	0	1
UBA7179	0	1
UBA7182	0	1
UBA7200	0	1
UBA7202	0	1
UBA7210	0	1
UBA7218	0	1
UBA7231	0	1
UBA7274	0	1
UBA7299	0	1
UBA730	0	1
UBA7324	0	1
UBA7330	0	1
UBA7357	0	1
UBA7359	0	1
UBA7421	0	1
UBA745	0	1
UBA7475	0	1
UBA7480	0	1
UBA7503	0	1
UBA752	0	1
UBA753	0	1
UBA7557	0	1
UBA758	0	1
UBA7590	0	1
UBA7650	0	1
UBA7655	0	1
UBA7677	0	1
UBA768	0	1
UBA774	0	1
UBA7744	0	1
UBA7763	0	1
UBA7833	0	1
UBA7882	0	1
UBA7883	0	1
UBA7887	0	1
UBA7893	0	1
UBA830	1	1
UBA832	0	1
UBA946	0	1
UBA973	0	1
UBA981	0	1
