genome	2AEP	CPLyase	Hpn	Phosphite
specI-1121028	0	1	0	0
specI-1121106	0	1	0	0
specI-1121127	0	1	0	0
specI-1121271	0	1	0	0
specI-1121280	0	1	0	1
specI-1121375	1	0	0	0
specI-1121396	0	1	0	0
specI-1121398	1	0	0	0
specI-1121443	0	1	0	0
specI-1121448	1	0	0	0
specI-1121479	0	1	0	0
specI-1121861	0	1	0	0
specI-1121935	1	0	0	0
specI-1121940	1	0	0	0
specI-1121943	0	1	0	0
specI-1122132	0	1	0	0
specI-1122135	1	0	0	0
specI-1122181	0	1	0	0
specI-1122197	1	0	0	0
specI-1122201	0	1	0	0
specI-1122213	0	1	0	0
specI-1122240	1	0	0	0
specI-1122614	0	1	0	0
specI-1122929	0	1	0	0
specI-1122963	0	1	0	0
specI-1123027	1	1	0	0
specI-1123060	0	1	0	0
specI-1123072	0	1	0	0
specI-1123229	0	1	0	0
specI-1123237	0	1	0	0
specI-1123240	0	1	0	0
specI-1123247	0	1	0	0
specI-1123248	1	0	0	0
specI-1123355	1	0	0	0
specI-1123364	0	1	0	0
specI-1123365	0	1	0	0
specI-1123366	0	1	0	0
specI-1123493	0	1	0	0
specI-1123499	0	1	0	0
specI-1125973	0	1	0	0
specI-1126627	0	1	0	0
specI-1131813	0	1	0	0
specI-1131814	0	1	0	0
specI-1132442	1	0	0	0
specI-1132836	0	1	0	0
specI-113395	0	1	0	0
specI-1136163	1	0	0	0
specI-1141663	1	0	0	0
specI-1144310	0	1	0	0
specI-1144312	0	1	0	0
specI-1144314	0	1	0	0
specI-1144318	1	0	0	0
specI-1144320	0	1	0	0
specI-1144341	0	1	0	0
specI-1144343	0	1	0	0
specI-114615	0	1	0	0
specI-1150621	1	0	0	0
specI-1151116	0	1	0	0
specI-1156919	0	1	0	0
specI-1156935	0	1	0	0
specI-1159870	0	1	0	0
specI-1166130	0	1	0	0
specI-1168059	0	1	0	0
specI-1177180	0	1	0	0
specI-1177928	0	1	0	0
specI-1178482	0	1	0	0
specI-118173	0	1	0	0
specI-1182590	0	1	0	0
specI-1185652	0	1	0	0
specI-1185766	0	1	0	0
specI-1187848	0	1	0	0
specI-1188252	0	1	0	0
specI-1190606	0	1	0	0
specI-1191299	1	0	0	0
specI-1192124	1	0	0	0
specI-1192868	0	1	0	0
specI-1195236	1	0	0	0
specI-1200792	1	0	0	0
specI-1201293	1	0	0	0
specI-1202962	1	0	0	0
specI-1204340	1	0	0	0
specI-1205680	1	1	0	0
specI-1205683	0	1	0	0
specI-1205908	1	0	0	0
specI-1207063	0	1	0	0
specI-1208323	0	1	0	0
specI-1211115	0	1	0	0
specI-1211777	0	1	0	0
specI-1212548	0	1	0	0
specI-1212819	1	0	0	0
specI-1214065	1	1	0	0
specI-1216966	1	0	0	0
specI-1216976	0	1	0	0
specI-1217656	1	0	0	0
specI-1217712	1	0	0	0
specI-1217718	0	1	0	0
specI-1217720	0	1	0	0
specI-1218074	0	1	0	0
specI-1218075	0	1	0	0
specI-1218076	0	1	0	0
specI-1218081	1	1	0	0
specI-1218084	1	1	0	0
specI-1218086	0	1	0	0
specI-1218352	0	1	0	0
specI-1219065	1	0	0	0
specI-1219076	1	0	0	0
specI-1219080	1	0	0	0
specI-1220582	0	1	0	0
specI-1223570	0	1	0	0
specI-1224136	0	1	0	0
specI-1224151	0	1	0	0
specI-1224318	0	1	0	0
specI-1225184	0	1	0	0
specI-1229485	0	1	0	0
specI-1229489	1	0	0	0
specI-1229521	1	0	0	0
specI-1230476	0	1	0	0
specI-1231185	0	1	0	0
specI-1231190	0	1	0	0
specI-1232429	0	1	0	0
specI-1236958	1	0	0	0
specI-1238182	0	1	0	0
specI-1238190	0	1	0	0
specI-1238450	0	1	0	0
specI-1245469	0	1	0	0
specI-1246459	0	1	0	0
specI-1247726	0	1	0	0
specI-1248916	0	1	0	0
specI-1256989	1	0	0	0
specI-1256991	1	0	0	0
specI-1265505	1	0	0	0
specI-1267600	0	1	0	0
specI-1276756	0	1	0	0
specI-1279015	1	0	0	0
specI-1279038	0	1	0	0
specI-1280001	1	0	0	0
specI-1281779	0	1	0	0
specI-1286093	1	1	0	0
specI-1286170	1	1	0	0
specI-1287116	0	1	0	0
specI-1287182	0	1	0	0
specI-1287252	0	1	0	0
specI-1287292	0	1	0	0
specI-1287336	0	1	0	0
specI-1288298	0	1	0	0
specI-1297569	0	1	0	0
specI-1297570	0	1	0	0
specI-1297863	0	1	0	0
specI-1297865	0	1	0	0
specI-1298858	0	1	0	0
specI-1298867	0	1	0	0
specI-1300350	0	1	0	0
specI-1301032	0	1	0	0
specI-1304877	0	1	0	0
specI-1304878	0	1	0	0
specI-1304886	0	1	0	0
specI-1305735	0	1	0	0
specI-1315313	1	0	0	0
specI-1317124	0	1	0	0
specI-1319815	1	0	0	0
specI-1320556	1	1	0	0
specI-1322246	0	1	0	0
specI-1331007	0	1	0	0
specI-1332069	0	1	0	0
specI-1332071	0	1	0	0
specI-1333848	0	1	0	0
specI-1336208	0	1	0	0
specI-1336235	0	1	0	0
specI-1336243	0	1	0	0
specI-1336245	1	0	0	0
specI-1340434	1	0	0	0
specI-1342299	0	1	0	0
specI-1342302	0	1	0	0
specI-1346614	0	1	0	0
specI-1354722	0	1	0	0
specI-1357272	0	1	0	0
specI-1357275	0	1	0	0
specI-1357279	0	1	0	0
specI-1357291	0	1	0	0
specI-1366050	0	1	0	0
specI-1367847	0	1	0	0
specI-1367849	0	1	0	0
specI-137722	1	0	0	0
specI-1380350	1	1	0	0
specI-1380355	0	1	0	0
specI-1380358	1	0	0	0
specI-1380367	0	1	0	0
specI-1380380	0	1	0	0
specI-1380391	1	0	0	0
specI-1380394	0	1	0	0
specI-1381123	0	1	0	0
specI-1385510	1	0	0	0
specI-1385514	1	0	0	0
specI-1385935	0	1	0	0
specI-1392838	0	1	0	0
specI-1395571	0	1	0	0
specI-1397275	0	1	0	0
specI-1397284	1	1	0	0
specI-1397530	0	1	0	0
specI-1399774	0	1	0	0
specI-1402135	0	1	0	0
specI-1408224	0	1	0	0
specI-1408418	0	1	0	0
specI-1408428	0	1	0	0
specI-1408890	0	1	0	0
specI-1410619	1	1	0	0
specI-1410620	1	1	0	0
specI-1411123	1	0	0	0
specI-1412471	1	0	0	0
specI-1412488	1	0	0	0
specI-1412489	1	0	0	0
specI-1412517	1	0	0	0
specI-1412525	1	0	0	0
specI-1412530	1	0	0	0
specI-1414851	0	1	0	0
specI-1415755	1	1	0	0
specI-1415756	0	1	0	0
specI-1415775	1	0	0	0
specI-1416753	1	1	0	0
specI-1417296	0	1	0	0
specI-1421013	0	1	0	0
specI-1421338	0	1	0	0
specI-1424334	0	1	0	0
specI-1429916	0	1	0	0
specI-1430440	0	1	0	0
specI-1437448	0	1	0	0
specI-1439940	0	1	0	0
specI-1441930	0	1	0	0
specI-1443111	0	1	0	0
specI-1443112	0	1	0	0
specI-1443113	0	1	0	0
specI-1444309	1	0	0	0
specI-1444314	1	0	0	0
specI-1446475	0	1	0	0
specI-1448139	1	0	0	0
specI-1449063	1	0	0	0
specI-1449065	0	1	0	0
specI-1449089	0	1	0	0
specI-1449338	1	0	0	0
specI-1449350	0	1	0	0
specI-1449351	0	1	0	0
specI-1453496	0	1	0	0
specI-1453503	0	1	0	0
specI-1454202	1	0	0	0
specI-1454373	0	1	0	0
specI-1458357	0	1	0	0
specI-1461693	0	1	0	0
specI-1461694	0	1	0	0
specI-1462526	1	0	0	0
specI-1469613	0	1	0	0
specI-1470558	1	1	0	0
specI-1472418	0	1	0	0
specI-1472716	1	1	0	0
specI-1492922	0	1	0	0
specI-1500257	0	1	0	0
specI-1500259	0	1	0	0
specI-1500301	0	1	0	0
specI-1500304	0	1	0	0
specI-1500306	0	1	0	0
specI-1500897	1	1	0	0
specI-1501230	1	0	0	0
specI-1502724	0	1	0	0
specI-1502851	1	1	0	0
specI-1504981	1	0	0	0
specI-1509405	0	1	0	0
specI-1510531	1	1	0	0
specI-1517681	1	1	0	0
specI-1522060	0	1	0	0
specI-1524467	0	1	0	0
specI-1526743	0	1	0	0
specI-1528106	0	1	0	0
specI-1530123	1	0	0	0
specI-1532557	0	1	0	0
specI-1532558	0	1	0	0
specI-1535287	0	1	0	0
specI-1537915	1	0	0	0
specI-1541065	0	1	0	0
specI-1545442	1	0	0	0
specI-1547437	0	1	0	0
specI-155864	0	1	0	0
specI-1565314	1	0	0	0
specI-1569209	0	1	0	0
specI-1577887	0	1	0	0
specI-158822	0	1	0	0
specI-159450	1	0	0	0
specI-1708715	0	1	0	0
specI-172088	0	1	0	0
specI-176299	0	1	0	0
specI-1820025	1	1	0	0
specI-187410	0	1	0	0
specI-189753	0	1	0	0
specI-1905730	0	1	0	0
specI-196367	1	1	0	0
specI-196490	0	1	0	0
specI-198094	1	0	0	0
specI-198628	0	1	0	0
specI-199310	0	1	0	0
specI-202952	1	0	0	0
specI-205918	0	1	0	0
specI-207559	0	1	0	0
specI-212667	1	0	0	0
specI-212717	1	0	0	0
specI-213554	1	0	0	0
specI-214092	0	1	0	0
specI-216591	1	0	0	0
specI-216595	0	1	0	0
specI-216596	0	1	0	0
specI-218491	0	1	0	0
specI-220341	1	0	0	0
specI-223283	0	1	0	0
specI-223926	1	0	0	0
specI-224911	0	1	0	0
specI-232346	1	0	0	0
specI-243159	0	1	0	0
specI-243160	1	1	0	0
specI-243277	1	0	0	0
specI-243365	0	1	0	0
specI-243924	0	1	0	0
specI-244592	0	1	0	0
specI-252305	0	1	0	0
specI-260799	1	0	0	0
specI-264198	1	1	0	0
specI-264730	0	1	0	0
specI-266264	0	1	0	0
specI-266265	0	1	0	0
specI-266834	1	1	0	0
specI-266835	0	1	0	0
specI-267850	1	0	0	0
specI-269482	1	0	0	0
specI-270374	0	1	0	0
specI-272123	0	1	0	0
specI-272560	0	1	0	0
specI-272942	0	1	0	0
specI-273526	1	1	0	0
specI-279058	1	0	0	0
specI-28072	0	1	0	0
specI-28152	0	1	0	0
specI-28447	0	1	0	0
specI-288000	0	1	0	0
specI-290338	0	1	0	0
specI-292	1	0	0	0
specI-29498	1	0	0	0
specI-296591	1	0	0	0
specI-298654	0	1	0	0
specI-298655	0	1	0	0
specI-301	0	1	0	0
specI-311402	0	1	0	0
specI-311403	0	1	0	0
specI-313612	0	1	0	0
specI-314232	0	1	0	0
specI-314262	0	1	0	0
specI-314264	0	1	0	0
specI-314265	0	1	0	0
specI-314271	0	1	0	0
specI-314292	1	1	0	0
specI-315730	1	0	0	0
specI-315749	1	0	0	0
specI-316055	0	1	0	0
specI-316056	0	1	0	0
specI-316057	0	1	0	0
specI-316058	0	1	0	0
specI-316385	0	1	0	0
specI-316407	0	1	0	0
specI-317	0	1	0	0
specI-318586	0	1	0	0
specI-318996	0	1	0	0
specI-319003	0	1	0	0
specI-324057	1	0	0	0
specI-331869	0	1	0	0
specI-335543	1	0	0	0
specI-335659	0	1	0	0
specI-339670	1	0	0	0
specI-34007	0	1	0	0
specI-342113	0	1	0	0
specI-344747	0	0	1	0
specI-345073	1	0	0	0
specI-347834	0	1	0	0
specI-348824	0	1	0	0
specI-349163	0	1	0	0
specI-349965	0	1	0	0
specI-349966	0	1	0	0
specI-349967	0	1	0	0
specI-349968	0	1	0	0
specI-350701	1	0	0	0
specI-351016	0	1	0	0
specI-35703	0	1	0	0
specI-358	0	1	0	0
specI-358220	0	1	0	0
specI-358681	1	0	0	0
specI-359	0	1	0	0
specI-360313	0	1	0	0
specI-362663	0	1	0	0
specI-363754	0	1	0	0
specI-365046	0	1	0	0
specI-366394	1	1	0	0
specI-371042	0	1	0	0
specI-376733	0	1	0	0
specI-380703	1	0	0	0
specI-381666	1	1	0	0
specI-384	0	1	0	0
specI-384765	0	1	0	0
specI-388051	0	1	0	0
specI-388739	0	1	0	0
specI-391038	0	1	0	0
specI-391574	1	1	0	0
specI-391589	0	1	0	0
specI-391591	1	1	0	0
specI-391613	0	1	0	0
specI-391619	0	1	0	0
specI-391624	0	1	0	0
specI-391735	1	1	0	0
specI-391937	0	1	0	0
specI-393305	0	1	0	0
specI-394	0	1	0	0
specI-395019	1	0	0	0
specI-395492	0	1	0	0
specI-398525	0	1	0	0
specI-398527	0	1	0	0
specI-399739	0	1	0	0
specI-399741	0	1	0	0
specI-399742	0	1	0	0
specI-411464	0	1	0	0
specI-411684	0	1	0	0
specI-412597	0	1	0	0
specI-41514	0	1	0	0
specI-420324	0	1	0	0
specI-421052	1	0	0	0
specI-424182	0	1	0	0
specI-426117	0	1	0	0
specI-426355	0	1	0	0
specI-436717	1	0	0	0
specI-438753	0	1	0	0
specI-439375	0	1	0	0
specI-439496	1	1	0	0
specI-440512	0	1	0	0
specI-443598	0	1	0	0
specI-443906	0	1	0	0
specI-450380	0	1	0	0
specI-457415	1	0	0	0
specI-460265	0	1	0	0
specI-463794	0	1	0	0
specI-469008	0	1	0	0
specI-46914	0	1	0	0
specI-469595	0	1	0	0
specI-469613	0	1	0	0
specI-469617	1	0	0	0
specI-469618	1	0	0	0
specI-470	1	0	0	0
specI-472175	0	1	0	0
specI-477184	0	1	0	0
specI-477228	0	1	0	0
specI-481805	0	1	0	0
specI-491916	0	1	0	0
specI-492774	0	1	0	0
specI-500639	0	1	0	0
specI-500640	0	1	0	0
specI-501479	0	1	0	0
specI-511062	1	0	0	0
specI-511145	0	1	0	0
specI-512030	0	1	0	0
specI-517433	0	1	0	0
specI-520999	1	0	0	0
specI-521000	1	0	0	0
specI-525897	0	1	0	0
specI-52598	0	1	0	0
specI-526986	1	0	0	0
specI-527002	0	1	0	0
specI-533240	0	1	0	0
specI-533247	0	1	0	0
specI-53367	0	1	0	0
specI-535289	0	1	0	0
specI-536019	1	1	0	0
specI-543728	0	1	0	0
specI-549	0	1	0	0
specI-550	0	1	0	0
specI-553385	0	1	0	0
specI-557598	0	1	0	0
specI-558884	1	0	0	0
specI-561229	0	1	0	0
specI-561230	0	1	0	0
specI-561231	0	1	0	0
specI-563192	0	1	0	0
specI-566551	0	1	0	0
specI-568768	0	1	0	0
specI-570967	0	1	0	0
specI-571	1	1	0	0
specI-571166	1	0	0	0
specI-573	1	1	0	0
specI-574375	1	0	0	0
specI-575564	1	0	0	0
specI-575788	1	0	0	0
specI-579405	0	1	0	0
specI-58051	1	0	0	0
specI-582515	0	1	0	0
specI-590409	0	1	0	0
specI-592316	0	1	0	0
specI-593105	0	1	0	0
specI-595537	1	0	0	0
specI-596152	1	0	0	0
specI-596153	1	0	0	0
specI-596154	1	0	0	0
specI-60547	0	1	0	0
specI-61647	1	0	0	0
specI-616991	1	0	0	0
specI-617140	1	1	0	0
specI-626418	1	0	0	0
specI-632955	1	0	0	0
specI-633	0	1	0	0
specI-633131	1	0	0	0
specI-633417	1	0	0	0
specI-634500	0	1	0	0
specI-639283	0	1	0	0
specI-640511	1	1	0	0
specI-640513	1	1	0	0
specI-641118	0	1	0	0
specI-643562	0	1	0	0
specI-644076	0	1	0	0
specI-644801	0	1	0	0
specI-648757	0	1	0	0
specI-652103	0	1	0	0
specI-667129	0	1	0	0
specI-667632	0	1	0	0
specI-671990	0	1	0	0
specI-675806	1	0	0	0
specI-675812	0	1	0	0
specI-675814	1	0	0	0
specI-675815	1	0	0	0
specI-675816	1	0	0	0
specI-681847	1	1	0	0
specI-68259	0	1	0	0
specI-682633	0	1	0	0
specI-690417	0	1	0	0
specI-690585	0	1	0	0
specI-690597	0	1	0	0
specI-690598	0	1	0	0
specI-693444	0	1	0	0
specI-693986	0	1	0	0
specI-698761	0	1	0	0
specI-701347	1	1	0	0
specI-706191	0	1	0	0
specI-707248	0	1	0	0
specI-709797	0	1	0	0
specI-712898	0	1	0	0
specI-716541	0	1	0	0
specI-716928	0	1	0	0
specI-718254	0	1	0	0
specI-741091	0	1	0	0
specI-742159	0	1	0	0
specI-744980	0	1	0	0
specI-745277	0	1	0	0
specI-754035	1	1	0	0
specI-754502	0	1	0	0
specI-758793	0	1	0	0
specI-760154	1	0	0	0
specI-762376	0	1	0	0
specI-765698	1	1	0	0
specI-766499	0	1	0	0
specI-78245	0	1	0	0
specI-82977	0	1	0	0
specI-82995	0	1	0	0
specI-82996	0	1	0	0
specI-85698	0	1	0	0
specI-858455	0	1	0	0
specI-861208	0	1	0	0
specI-862719	1	0	0	0
specI-864069	0	1	0	0
specI-871203	0	1	0	0
specI-871585	1	0	0	0
specI-883078	0	1	0	0
specI-886293	0	0	1	0
specI-89187	1	1	0	0
specI-891974	0	1	0	0
specI-910964	0	1	0	0
specI-911008	0	1	0	0
specI-926550	1	0	0	0
specI-93220	1	1	0	0
specI-932213	0	1	0	0
specI-932677	0	1	0	0
specI-935261	1	0	0	0
specI-935543	0	1	0	0
specI-935548	1	1	0	0
specI-935557	1	1	0	0
specI-935565	0	1	0	0
specI-935840	0	1	0	0
specI-935848	0	1	0	0
specI-936136	0	1	0	0
specI-936455	0	1	0	0
specI-941449	0	1	0	0
specI-944435	0	1	0	0
specI-944559	1	0	0	0
specI-945543	0	1	0	0
specI-945550	1	0	0	0
specI-948106	1	1	0	0
specI-95486	1	0	0	0
specI-977880	1	1	0	0
specI-983917	1	0	0	0
specI-985054	0	1	0	0
specI-990268	1	1	0	0
specI-990285	0	1	0	0
specI-991905	0	1	0	0
specI-99598	0	1	0	0
specI-998088	1	0	0	0
specI-999141	1	0	0	0
specI-999541	1	0	0	0
specI-999547	1	1	0	0
specI-999549	0	1	0	0
specI-999550	0	1	0	0
specI-999611	1	1	0	0
TMED150	0	1	0	0
TMED176	1	0	0	0
TMED183	0	1	0	0
TMED213	0	1	0	0
TMED223	0	0	0	1
TMED52	0	1	0	0
UBA1004	0	1	0	0
UBA1096	1	0	0	0
UBA1131	0	1	0	0
UBA1132	0	1	0	0
UBA1137	1	0	0	0
UBA1170	0	1	0	0
UBA1271	0	1	0	0
UBA1347	1	1	0	0
UBA1636	0	1	0	0
UBA1893	0	1	0	0
UBA1894	1	0	0	0
UBA1898	0	1	0	0
UBA2042	1	0	0	0
UBA2046	1	0	0	0
UBA2048	1	0	0	0
UBA2049	0	1	0	0
UBA2064	0	1	0	0
UBA2299	0	1	0	0
UBA2313	0	1	0	0
UBA2473	0	1	0	0
UBA2501	0	1	0	0
UBA2505	0	0	0	1
UBA2506	0	0	1	0
UBA2508	0	1	0	0
UBA2526	0	1	0	0
UBA2529	0	1	0	0
UBA3024	0	1	0	0
UBA3042	0	1	0	0
UBA3043	0	1	0	0
UBA3234	0	1	0	0
UBA3235	0	1	0	0
UBA3905	1	0	0	0
UBA3908	1	0	0	0
UBA4040	0	1	0	0
UBA4388	0	1	0	0
UBA4389	0	1	0	0
UBA4479	1	0	0	0
UBA4550	0	1	0	0
UBA4618	0	1	0	0
UBA5037	0	1	0	0
UBA5082	0	1	0	0
UBA5101	0	1	0	0
UBA5103	0	1	0	0
UBA5110	0	1	0	0
UBA5647	1	0	0	0
UBA5970	0	1	0	0
UBA6298	0	1	0	0
UBA6501	0	1	0	0
UBA6564	0	1	0	0
UBA6568	1	0	0	0
UBA6725	0	1	0	0
UBA6728	0	1	0	0
UBA6743	0	1	0	0
UBA6744	0	1	0	0
UBA6747	0	1	0	0
UBA6749	0	1	0	0
UBA6763	0	1	0	0
UBA681	0	1	0	0
UBA683	0	1	0	0
UBA687	0	1	0	0
UBA688	0	1	0	0
UBA6962	0	1	0	0
UBA7371	0	1	0	0
UBA7372	1	0	0	0
UBA7499	0	1	0	0
UBA7808	0	1	0	0
UBA862	0	1	0	0
UBA868	0	1	0	0
UBA989	0	1	0	0
