genome	phnC	phnD	phnE	phnF	phnG	phnH	phnI	phnJ	phnK	phnL	phnM	phnN	phnO	phnP	phn01	phn02
DSM14790	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
DSM14985	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
DSM16000	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0
DSM16109	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
DSM16212	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM16300	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM16456	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
DSM17143	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
DSM17366	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM17556	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
DSM17657	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
DSM17808	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
DSM17972	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0
DSM18065	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
DSM18339	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
DSM18348	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM18598	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
DSM18922	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0
DSM18995	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
DSM19363	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM19524	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM19539	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM19808	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
DSM21189	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
DSM21201	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM21604	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
DSM22990	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
DSM23064	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
DSM23277	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
DSM23481	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
DSM23508	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
DSM23545	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
DSM30083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
DSM3379	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0
DSM4028	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM50071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
DSM513	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0
DSM5886	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1
DSM5888	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
DSM5890	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
DSM6286	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0
DSM6295	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
DSM7166	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0
DSM9154	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0
EAC21	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0
HTCC7211	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0
HTCC7217	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0
MED139	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
MED595	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1
MED717	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1
MED756	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1
MED792	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
MED834	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1
MMP01915661	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
MMP02603049	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0
MMP02603624	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
MMP03081458	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
MMP03292294	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
MMP03294491	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
MMP03701403	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0
MMP05216535	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
MMP06054042	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
MMP06234523	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1
MMP2272703	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
NAT173	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
NP29	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0
NP49	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0
SAT198	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
SAT2866	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
SAT89	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0
SAT9	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0
specI-1001585	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1002340	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1002368	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1003200	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1005994	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1006000	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
specI-1006004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-102129	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0
specI-1028307	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1028800	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1028801	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1033991	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-103690	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0
specI-1037409	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1038858	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-1038859	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1038860	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1038862	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1038866	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1038867	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1038869	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1040982	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
specI-1040983	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
specI-1040986	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1
specI-1040987	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1040989	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1041138	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1041139	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1041142	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1041146	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1041147	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1041159	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1042326	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
specI-1042375	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0
specI-1045856	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-104623	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1050720	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1054213	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1056512	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1057002	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-106592	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1076550	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1079460	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1080067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1082705	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0
specI-1082932	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1082933	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1089444	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1089551	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0
specI-1089552	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-1096546	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-1097668	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1100720	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-1101188	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1101191	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1105367	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1114922	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1116369	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1117943	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1120956	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1120970	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1121028	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1121106	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1121127	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1121271	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1121280	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1121396	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0
specI-1121443	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1
specI-1121479	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1121861	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0
specI-1121943	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1122132	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-1122181	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1122201	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1122213	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1122614	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1122929	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
specI-1122963	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1123027	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1123060	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1123072	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-1123229	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1123237	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1123240	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1123247	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1123364	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1123365	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1123366	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1123493	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1123499	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0
specI-1125973	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1126627	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1131813	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1131814	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1132836	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-113395	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1144310	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1144312	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1144314	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1144320	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1144341	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1144343	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-114615	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1151116	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1156919	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1156935	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
specI-1159870	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0
specI-1166130	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1168059	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1177180	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1177928	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1178482	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-118173	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0
specI-1182590	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1185652	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1185766	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1187848	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1188252	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1190606	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1192868	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1205680	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0
specI-1205683	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1207063	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1208323	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1211115	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
specI-1211777	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1212548	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1214065	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0
specI-1216976	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1217718	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0
specI-1217720	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1218074	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1218075	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1218076	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1218081	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1218084	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1218086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1218352	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1220582	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1223570	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1224136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1224151	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1224318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1225184	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1229485	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
specI-1230476	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1231185	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1
specI-1231190	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1232429	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0
specI-1238182	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0
specI-1238190	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0
specI-1238450	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1245469	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1246459	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1247726	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1248916	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-1267600	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1276756	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-1279038	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0
specI-1281779	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1286093	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1286170	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1287116	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1287182	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1287252	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1287292	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1287336	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1288298	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1297569	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
specI-1297570	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
specI-1297863	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1297865	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1298858	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1298867	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1300350	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1301032	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1304877	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1304878	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1304886	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0
specI-1305735	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1317124	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1320556	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1322246	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1331007	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1332069	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1332071	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1333848	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1336208	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1336235	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1336243	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1342299	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-1342302	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1346614	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1354722	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1357272	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1357275	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1357279	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1357291	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1366050	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0
specI-1367847	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1367849	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1380350	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1380355	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1380367	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1380380	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1380394	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0
specI-1381123	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1385935	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0
specI-1392838	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
specI-1395571	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1397275	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1397284	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1397530	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1399774	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1402135	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1408224	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1408418	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-1408428	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0
specI-1408890	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0
specI-1410619	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1410620	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1414851	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0
specI-1415755	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1415756	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1416753	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1417296	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1421013	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1421338	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1424334	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1429916	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1430440	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-1437448	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1439940	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0
specI-1441930	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1443111	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1443112	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1443113	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1446475	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1449065	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1449089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1449350	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1449351	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1453496	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1453503	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1454373	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1458357	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1461693	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1461694	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1469613	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1470558	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-1472418	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-1472716	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1492922	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1500257	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1500259	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1500301	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1500304	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1500306	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
specI-1500897	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-1502724	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1502851	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1509405	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
