enzyme	seqid	genome	contig	gene_no	start	end	strand	pfam	dbit	devalue	fullbit	fullevalue
phyH	AG-464-O08_4_19_16712_17482_R	AG-464-O08	4	19	16712	17482	R	PF05721.12	112	3.3e-32	111.8	3.9e-32
phyH	AG-464-O08_4_21_18816_19682_R	AG-464-O08	4	21	18816	19682	R	PF05721.12	100.2	1.4e-28	99.8	1.8e-28
ptxD	AG-464-O08_4_25_22674_23702_R	AG-464-O08	4	25	22674	23702	R	PF02826.18	139.7	1.3e-40	139.1	1.8e-40
phnZ	AG-426-L07_4_69_52935_53540_R	AG-426-L07	4	69	52935	53540	R	PF01966.21	28.3	1.5e-6	27.7	2.3e-6
phyH	AG-426-L07_4_70_53537_54262_R	AG-426-L07	4	70	53537	54262	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-426-L07_4_72_54753_55709_R	AG-426-L07	4	72	54753	55709	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-426-L07_4_73_55720_56517_R	AG-426-L07	4	73	55720	56517	R	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnD-like	AG-426-L07_4_74_56554_57432_R	AG-426-L07	4	74	56554	57432	R	TIGR01098	228.2	1.3e-68	227.9	1.6e-68
phnC	AG-426-L07_4_75_57465_58250_R	AG-426-L07	4	75	57465	58250	R	TIGR02315	302.3	3.4e-91	302.1	3.9e-91
phnE	AG-426-L07_4_76_58477_59292_R	AG-426-L07	4	76	58477	59292	R	TIGR01097	281.3	9e-85	281.1	1e-84
phnE	AG-426-L07_4_77_59292_60089_R	AG-426-L07	4	77	59292	60089	R	TIGR01097	266.3	3.5e-80	266.1	4e-80
phnZ	AG-895-M05_4_77_43649_44254_R	AG-895-M05	4	77	43649	44254	R	PF01966.21	29.4	7.2e-7	28.9	9.9e-7
phnC	AG-426-L07_4_78_60101_60868_R	AG-426-L07	4	78	60101	60868	R	TIGR02315	332.7	1.9e-100	332.5	2.1e-100
phyH	AG-895-M05_4_78_44251_44988_R	AG-895-M05	4	78	44251	44988	R	PF05721.12	77.7	1.1e-21	77.3	1.4e-21
phnD-like	AG-426-L07_4_79_60900_61898_R	AG-426-L07	4	79	60900	61898	R	TIGR01098	219.9	4.4e-66	219.5	5.7e-66
ptxD	AG-895-M05_4_80_45467_46423_R	AG-895-M05	4	80	45467	46423	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-895-M05_4_81_46434_47231_R	AG-895-M05	4	81	46434	47231	R	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnD-like	AG-895-M05_4_82_47269_48147_R	AG-895-M05	4	82	47269	48147	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnC	AG-895-M05_4_83_48180_48971_R	AG-895-M05	4	83	48180	48971	R	TIGR02315	304.3	8.8e-92	304.1	1e-91
phnE	AG-895-M05_4_84_49191_50006_R	AG-895-M05	4	84	49191	50006	R	TIGR01097	281.4	8.7e-85	281.1	1e-84
phnE	AG-895-M05_4_85_50006_50803_R	AG-895-M05	4	85	50006	50803	R	TIGR01097	263.2	3e-79	263	3.4e-79
phnC	AG-895-M05_4_86_50813_51580_R	AG-895-M05	4	86	50813	51580	R	TIGR02315	333.7	8.8e-101	333.6	9.9e-101
phnD-like	AG-895-M05_4_87_51623_52621_R	AG-895-M05	4	87	51623	52621	R	TIGR01098	219.9	4.5e-66	219.5	5.7e-66
phnZ	AG-903-M06_6_19_8579_9184_R	AG-903-M06	6	19	8579	9184	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-903-M06_6_20_9181_9906_R	AG-903-M06	6	20	9181	9906	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-903-M06_6_22_10397_11353_R	AG-903-M06	6	22	10397	11353	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-903-M06_6_23_11364_12161_R	AG-903-M06	6	23	11364	12161	R	TIGR01097	276.3	2.9e-83	276.1	3.4e-83
phnD-like	AG-903-M06_6_24_12198_13076_R	AG-903-M06	6	24	12198	13076	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnC	AG-903-M06_6_25_13109_13894_R	AG-903-M06	6	25	13109	13894	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnZ	AG-899-G16_6_40_28151_28756_R	AG-899-G16	6	40	28151	28756	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-899-G16_6_41_28753_29478_R	AG-899-G16	6	41	28753	29478	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-899-G16_6_43_29969_30925_R	AG-899-G16	6	43	29969	30925	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-899-G16_6_44_30936_31733_R	AG-899-G16	6	44	30936	31733	R	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnD-like	AG-899-G16_6_45_31770_32648_R	AG-899-G16	6	45	31770	32648	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnC	AG-899-G16_6_46_32681_33466_R	AG-899-G16	6	46	32681	33466	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnE	AG-899-G16_6_47_33692_34507_R	AG-899-G16	6	47	33692	34507	R	TIGR01097	281.3	9e-85	281.1	1e-84
phnC	AG-912-D07_6_75_49019_49804_F	AG-912-D07	6	75	49019	49804	F	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnD-like	AG-912-D07_6_76_49837_50715_F	AG-912-D07	6	76	49837	50715	F	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnE	AG-912-D07_6_77_50752_51549_F	AG-912-D07	6	77	50752	51549	F	TIGR01097	277.1	1.8e-83	276.8	2.2e-83
ptxD	AG-912-D07_6_78_51560_52516_F	AG-912-D07	6	78	51560	52516	F	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phyH	AG-912-D07_6_80_53007_53732_F	AG-912-D07	6	80	53007	53732	F	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
phnZ	AG-912-D07_6_81_53729_54334_F	AG-912-D07	6	81	53729	54334	F	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phnC	AG-349-B10_10_1_2_685_F	AG-349-B10	10	1	2	685	F	TIGR02315	271	1.3e-81	270.8	1.4e-81
phnD-like	AG-898-L05_10_1_1_939_F	AG-898-L05	10	1	1	939	F	TIGR01098	219.8	4.9e-66	219.4	6.2e-66
phnC	AG-898-L05_10_2_971_1738_F	AG-898-L05	10	2	971	1738	F	TIGR02315	331.6	4e-100	331.4	4.5e-100
phnD-like	AG-349-B10_10_2_718_1596_F	AG-349-B10	10	2	718	1596	F	TIGR01098	230.9	2e-69	230.6	2.4e-69
phnE	AG-349-B10_10_3_1635_2432_F	AG-349-B10	10	3	1635	2432	F	TIGR01097	277.1	1.8e-83	276.8	2.1e-83
phnE	AG-898-L05_10_3_1750_2547_F	AG-898-L05	10	3	1750	2547	F	TIGR01097	266.3	3.5e-80	266.1	4e-80
phnE	AG-898-L05_10_4_2547_3362_F	AG-898-L05	10	4	2547	3362	F	TIGR01097	281.3	9e-85	281.1	1e-84
ptxD	AG-349-B10_10_4_2443_3399_F	AG-349-B10	10	4	2443	3399	F	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnC	AG-898-L05_10_5_3588_4373_F	AG-898-L05	10	5	3588	4373	F	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnD-like	AG-898-L05_10_6_4406_5284_F	AG-898-L05	10	6	4406	5284	F	TIGR01098	226.6	4e-68	226.4	4.5e-68
phyH	AG-349-B10_10_6_3878_4615_F	AG-349-B10	10	6	3878	4615	F	PF05721.12	76	3.5e-21	75.6	4.5e-21
phnE	AG-898-L05_10_7_5321_6118_F	AG-898-L05	10	7	5321	6118	F	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnZ	AG-349-B10_10_7_4612_5217_F	AG-349-B10	10	7	4612	5217	F	PF01966.21	29.4	7.2e-7	28.9	9.9e-7
ptxD	AG-898-L05_10_8_6129_7085_F	AG-898-L05	10	8	6129	7085	F	PF02826.18	152.2	1.8e-44	151.5	3e-44
phyH	AG-898-L05_10_10_7576_8301_F	AG-898-L05	10	10	7576	8301	F	PF05721.12	76.3	2.9e-21	75.9	3.7e-21
phnZ	AG-898-L05_10_11_8298_8903_F	AG-898-L05	10	11	8298	8903	F	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phnZ	AG-422-G18_11_23_14554_15159_R	AG-422-G18	11	23	14554	15159	R	PF01966.21	29.4	7.2e-7	28.9	9.9e-7
phyH	AG-422-G18_11_24_15156_15893_R	AG-422-G18	11	24	15156	15893	R	PF05721.12	78.2	7.4e-22	77.8	9.5e-22
ptxD	AG-422-G18_11_26_16372_17328_R	AG-422-G18	11	26	16372	17328	R	PF02826.18	153.8	6e-45	153	1e-44
phnE	AG-422-G18_11_27_17339_18136_R	AG-422-G18	11	27	17339	18136	R	TIGR01097	277.1	1.7e-83	276.9	2e-83
phnD-like	AG-422-G18_11_28_18174_19052_R	AG-422-G18	11	28	18174	19052	R	TIGR01098	229.6	4.8e-69	229.4	5.5e-69
phnC	AG-422-G18_11_29_19085_19870_R	AG-422-G18	11	29	19085	19870	R	TIGR02315	305.4	4.1e-92	305.2	4.6e-92
ptxD	AG-313-K22_12_1_1_372_F	AG-313-K22	12	1	1	372	F	PF02826.18	90.3	1.8e-25	90	2.3e-25
phnZ	AG-910-N06_12_5_2803_3408_R	AG-910-N06	12	5	2803	3408	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-313-K22_12_6_5163_6029_F	AG-313-K22	12	6	5163	6029	F	PF05721.12	105.1	4.4e-30	104.7	5.6e-30
phyH	AG-910-N06_12_6_3405_4130_R	AG-910-N06	12	6	3405	4130	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
phyH	AG-313-K22_12_8_7362_8135_F	AG-313-K22	12	8	7362	8135	F	PF05721.12	113.7	9.9e-33	113.5	1.2e-32
ptxD	AG-910-N06_12_8_4621_5577_R	AG-910-N06	12	8	4621	5577	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-910-N06_12_9_5588_6385_R	AG-910-N06	12	9	5588	6385	R	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnD-like	AG-910-N06_12_10_6422_7300_R	AG-910-N06	12	10	6422	7300	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnC	AG-910-N06_12_11_7333_8118_R	AG-910-N06	12	11	7333	8118	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnZ	AG-313-K22_12_11_10102_10638_R	AG-313-K22	12	11	10102	10638	R	PF01966.21	31.9	1.2e-7	31.3	1.9e-7
phnE	AG-910-N06_12_12_8344_9159_R	AG-910-N06	12	12	8344	9159	R	TIGR01097	281.3	9e-85	281.1	1e-84
phnE	AG-910-N06_12_13_9159_9956_R	AG-910-N06	12	13	9159	9956	R	TIGR01097	266.3	3.5e-80	266.1	4e-80
phnC	AG-910-N06_12_14_9968_10735_R	AG-910-N06	12	14	9968	10735	R	TIGR02315	333.5	1e-100	333.3	1.2e-100
phnD-like	AG-910-N06_12_15_10767_11765_R	AG-910-N06	12	15	10767	11765	R	TIGR01098	221.4	1.5e-66	221.1	2e-66
phnZ	AG-894-F20_12_20_11397_12002_R	AG-894-F20	12	20	11397	12002	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-894-F20_12_21_11999_12724_R	AG-894-F20	12	21	11999	12724	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-894-F20_12_23_13215_14171_R	AG-894-F20	12	23	13215	14171	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-894-F20_12_24_14182_14979_R	AG-894-F20	12	24	14182	14979	R	TIGR01097	277.6	1.3e-83	277.3	1.5e-83
phnD-like	AG-894-F20_12_25_15016_15894_R	AG-894-F20	12	25	15016	15894	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnC	AG-894-F20_12_26_15927_16712_R	AG-894-F20	12	26	15927	16712	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnE	AG-894-F20_12_27_16939_17754_R	AG-894-F20	12	27	16939	17754	R	TIGR01097	279.7	2.8e-84	279.5	3.3e-84
phnE	AG-894-F20_12_28_17754_18551_R	AG-894-F20	12	28	17754	18551	R	TIGR01097	266.6	2.8e-80	266.4	3.2e-80
phnC	AG-894-F20_12_29_18563_19330_R	AG-894-F20	12	29	18563	19330	R	TIGR02315	330.5	8.4e-100	330.3	9.5e-100
phnD-like	AG-894-F20_12_30_19362_20360_R	AG-894-F20	12	30	19362	20360	R	TIGR01098	219.9	4.5e-66	219.5	5.7e-66
phnD-like	AG-892-A16_14_6_2112_3110_F	AG-892-A16	14	6	2112	3110	F	TIGR01098	219.8	4.9e-66	219.4	6.4e-66
phnC	AG-892-A16_14_7_3142_3909_F	AG-892-A16	14	7	3142	3909	F	TIGR02315	329	2.4e-99	328.9	2.7e-99
phnE	AG-892-A16_14_8_3921_4718_F	AG-892-A16	14	8	3921	4718	F	TIGR01097	266.3	3.5e-80	266.1	4e-80
phnE	AG-892-A16_14_9_4718_5533_F	AG-892-A16	14	9	4718	5533	F	TIGR01097	281.4	8.4e-85	281.2	9.9e-85
phnC	AG-892-A16_14_10_5759_6544_F	AG-892-A16	14	10	5759	6544	F	TIGR02315	302.9	2.3e-91	302.7	2.6e-91
phnD-like	AG-892-A16_14_11_6577_7455_F	AG-892-A16	14	11	6577	7455	F	TIGR01098	227.6	2e-68	227.4	2.2e-68
phnE	AG-892-A16_14_12_7492_8289_F	AG-892-A16	14	12	7492	8289	F	TIGR01097	275.4	5.9e-83	275.2	6.8e-83
ptxD	AG-892-A16_14_13_8300_9256_F	AG-892-A16	14	13	8300	9256	F	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phyH	AG-892-A16_14_15_9747_10472_F	AG-892-A16	14	15	9747	10472	F	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
phnZ	AG-892-A16_14_16_10469_11074_F	AG-892-A16	14	16	10469	11074	F	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phnC	AG-892-C23_15_1_350_1135_F	AG-892-C23	15	1	350	1135	F	TIGR02315	304	1e-91	303.8	1.2e-91
phnD-like	AG-426-D20_15_2_312_1190_F	AG-426-D20	15	2	312	1190	F	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnD-like	AG-892-C23_15_2_1168_2046_F	AG-892-C23	15	2	1168	2046	F	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnE	AG-426-D20_15_3_1227_2024_F	AG-426-D20	15	3	1227	2024	F	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnE	AG-892-C23_15_3_2083_2880_F	AG-892-C23	15	3	2083	2880	F	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
ptxD	AG-426-D20_15_4_2035_2991_F	AG-426-D20	15	4	2035	2991	F	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
ptxD	AG-892-C23_15_4_2891_3847_F	AG-892-C23	15	4	2891	3847	F	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phyH	AG-426-D20_15_6_3482_4207_F	AG-426-D20	15	6	3482	4207	F	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
phyH	AG-892-C23_15_6_4338_5063_F	AG-892-C23	15	6	4338	5063	F	PF05721.12	74.1	1.4e-20	73.6	1.9e-20
phnZ	AG-426-D20_15_7_4204_4809_F	AG-426-D20	15	7	4204	4809	F	PF01966.21	28	2e-6	27.5	2.8e-6
phnZ	AG-892-C23_15_7_5060_5665_F	AG-892-C23	15	7	5060	5665	F	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phnZ	AG-903-N11_15_21_11154_11759_R	AG-903-N11	15	21	11154	11759	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-903-N11_15_22_11756_12481_R	AG-903-N11	15	22	11756	12481	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-903-N11_15_24_12972_13928_R	AG-903-N11	15	24	12972	13928	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-903-N11_15_25_13939_14736_R	AG-903-N11	15	25	13939	14736	R	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnD-like	AG-903-N11_15_26_14773_15651_R	AG-903-N11	15	26	14773	15651	R	TIGR01098	226.6	4e-68	226.4	4.5e-68
phnC	AG-903-N11_15_27_15684_16469_R	AG-903-N11	15	27	15684	16469	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnE	AG-903-N11_15_28_16695_17510_R	AG-903-N11	15	28	16695	17510	R	TIGR01097	281	1.1e-84	280.8	1.3e-84
phnE	AG-903-N11_15_29_17510_18307_R	AG-903-N11	15	29	17510	18307	R	TIGR01097	266.3	3.5e-80	266.1	4e-80
phnC	AG-903-N11_15_30_18319_19086_R	AG-903-N11	15	30	18319	19086	R	TIGR02315	329.6	1.6e-99	329.5	1.7e-99
phnD-like	AG-903-N11_15_31_19118_20116_R	AG-903-N11	15	31	19118	20116	R	TIGR01098	219.8	4.9e-66	219.4	6.4e-66
phnD-like	AG-426-I23_16_8_2740_3738_F	AG-426-I23	16	8	2740	3738	F	TIGR01098	219.8	4.9e-66	219.4	6.4e-66
phnC	AG-426-I23_16_9_3770_4537_F	AG-426-I23	16	9	3770	4537	F	TIGR02315	331	6.2e-100	330.8	6.9e-100
phnE	AG-426-I23_16_10_4549_5346_F	AG-426-I23	16	10	4549	5346	F	TIGR01097	266.3	3.5e-80	266.1	4e-80
phnE	AG-426-I23_16_11_5346_6161_F	AG-426-I23	16	11	5346	6161	F	TIGR01097	281.4	8.4e-85	281.2	9.9e-85
phnC	AG-426-I23_16_12_6387_7172_F	AG-426-I23	16	12	6387	7172	F	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnD-like	AG-426-I23_16_13_7205_8083_F	AG-426-I23	16	13	7205	8083	F	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnE	AG-426-I23_16_14_8120_8917_F	AG-426-I23	16	14	8120	8917	F	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
ptxD	AG-426-I23_16_15_8928_9884_F	AG-426-I23	16	15	8928	9884	F	PF02826.18	152.2	1.8e-44	151.5	2.9e-44
phyH	AG-426-I23_16_17_10375_11100_F	AG-426-I23	16	17	10375	11100	F	PF05721.12	77.7	1e-21	77.4	1.3e-21
phnZ	AG-426-I23_16_18_11097_11702_F	AG-426-I23	16	18	11097	11702	F	PF01966.21	29.4	6.9e-7	29	9.7e-7
phnZ	AG-893-L15_17_11_4284_4889_R	AG-893-L15	17	11	4284	4889	R	PF01966.21	29.4	7.2e-7	28.9	9.9e-7
phyH	AG-893-L15_17_12_4886_5623_R	AG-893-L15	17	12	4886	5623	R	PF05721.12	78.2	7.4e-22	77.8	9.5e-22
phnZ	AG-905-F14_17_13_5576_6181_R	AG-905-F14	17	13	5576	6181	R	PF01966.21	28.3	1.5e-6	27.8	2.3e-6
phyH	AG-905-F14_17_14_6178_6903_R	AG-905-F14	17	14	6178	6903	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-893-L15_17_14_6102_7058_R	AG-893-L15	17	14	6102	7058	R	PF02826.18	153	1.1e-44	152.2	1.8e-44
phnE	AG-893-L15_17_15_7069_7866_R	AG-893-L15	17	15	7069	7866	R	TIGR01097	277.1	1.7e-83	276.9	2e-83
phnD-like	AG-893-L15_17_16_7904_8782_R	AG-893-L15	17	16	7904	8782	R	TIGR01098	228.7	9e-69	228.6	1e-68
ptxD	AG-905-F14_17_16_7394_8350_R	AG-905-F14	17	16	7394	8350	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnC	AG-893-L15_17_17_8815_9600_R	AG-893-L15	17	17	8815	9600	R	TIGR02315	302.1	4e-91	301.9	4.6e-91
phnE	AG-905-F14_17_17_8361_9158_R	AG-905-F14	17	17	8361	9158	R	TIGR01097	276.2	3.3e-83	275.9	3.9e-83
phnD-like	AG-905-F14_17_18_9195_10073_R	AG-905-F14	17	18	9195	10073	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnE	AG-893-L15_17_18_9826_10641_R	AG-893-L15	17	18	9826	10641	R	TIGR01097	280.7	1.3e-84	280.5	1.6e-84
phnC	AG-905-F14_17_19_10106_10891_R	AG-905-F14	17	19	10106	10891	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnE	AG-893-L15_17_19_10641_11438_R	AG-893-L15	17	19	10641	11438	R	TIGR01097	266.2	3.6e-80	266.1	4.1e-80
phnC	AG-893-L15_17_20_11450_12217_R	AG-893-L15	17	20	11450	12217	R	TIGR02315	332.1	2.7e-100	332	3e-100
phnE	AG-905-F14_17_20_11116_11931_R	AG-905-F14	17	20	11116	11931	R	TIGR01097	280	2.3e-84	279.8	2.7e-84
phnD-like	AG-893-L15_17_21_12249_13247_R	AG-893-L15	17	21	12249	13247	R	TIGR01098	219.9	4.4e-66	219.5	5.7e-66
phnE	AG-905-F14_17_21_11931_12728_R	AG-905-F14	17	21	11931	12728	R	TIGR01097	262.1	6.6e-79	261.9	7.5e-79
