enzyme	seqid	genome	contig	gene_no	start	end	strand	pfam	dbit	devalue	fullbit	fullevalue
phnT2	AG-319-D07_1_59_57431_58492_F	AG-319-D07	1	59	57431	58492	F	TIGR03265	494.1	2.8e-150	493.9	3.1e-150
phnU2	AG-319-D07_1_60_58501_60204_F	AG-319-D07	1	60	58501	60204	F	TIGR03262	769.1	3.1e-233	768.9	3.5e-233
phnY	AG-319-D07_3_76_69379_70812_R	AG-319-D07	3	76	69379	70812	R	PF00171.21	524.7	3e-157	524.5	3.4e-157
phnY	AG-319-D07_3_77_70900_72279_F	AG-319-D07	3	77	70900	72279	F	PF00171.21	386.5	2.3e-115	386.4	2.6e-115
phnA	AG-319-E03_7_10_6895_8136_F	AG-319-E03	7	10	6895	8136	F	TIGR02335	471.2	2.1e-141	471.1	2.3e-141
phnY	AG-319-E03_7_11_8136_9575_F	AG-319-E03	7	11	8136	9575	F	TIGR03250	778.7	3e-234	778.5	3.4e-234
phnW	AG-319-E03_7_15_12166_13263_R	AG-319-E03	7	15	12166	13263	R	TIGR02326	478.3	3e-145	478	3.7e-145
phnS2	AG-319-E03_7_18_14825_15931_R	AG-319-E03	7	18	14825	15931	R	TIGR03261	406.7	8.7e-124	406.4	1e-123
phnT2	AG-319-E03_7_19_16031_17104_F	AG-319-E03	7	19	16031	17104	F	TIGR03265	487.6	2.6e-148	487.4	2.9e-148
phnU2	AG-319-E03_7_20_17113_18816_F	AG-319-E03	7	20	17113	18816	F	TIGR03262	766.5	1.9e-232	766.3	2.2e-232
phnY	AG-319-F15_9_31_31659_33137_F	AG-319-F15	9	31	31659	33137	F	PF00171.21	516.5	8.8e-155	516.3	9.9000000000000008e-155
lysR	AG-319-F15_9_36_37087_37953_R	AG-319-F15	9	36	37087	37953	R	PF03466.19	97.7	2.5e-28	97.1	3.7e-28
phnW	AG-319-F15_9_37_38053_39246_F	AG-319-F15	9	37	38053	39246	F	TIGR02326	468.3	3.3e-142	468	4e-142
phnA	AG-319-F15_9_38_39267_40511_F	AG-319-F15	9	38	39267	40511	F	TIGR02335	526.1	4.6e-158	525.9	5.3e-158
phnY	AG-319-F15_9_39_40599_42050_F	AG-319-F15	9	39	40599	42050	F	TIGR03250	771.9	3.5e-232	771.7	3.9e-232
lysR	AG-319-F15_10_13_9917_10861_F	AG-319-F15	10	13	9917	10861	F	PF03466.19	104.9	1.6e-30	103.9	3.1e-30
phnY	AG-319-F15_10_14_10964_12394_F	AG-319-F15	10	14	10964	12394	F	PF00171.21	497.3	6.1e-149	497.1	7e-149
lysR	AG-319-M03_16_13_13526_14458_R	AG-319-M03	16	13	13526	14458	R	PF03466.19	147.2	1.7e-43	146.6	2.6e-43
phnW	AG-319-M03_16_15_15621_16727_F	AG-319-M03	16	15	15621	16727	F	TIGR03301	397.2	1.5e-120	397	1.8e-120
phnY	AG-319-M03_25_2_1171_2655_R	AG-319-M03	25	2	1171	2655	R	PF00171.21	495.3	2.4e-148	495.1	2.7e-148
phnA	AG-319-M03_25_3_3036_4289_R	AG-319-M03	25	3	3036	4289	R	TIGR02335	494.4	1.9e-148	494.3	2.1e-148
lysR	AG-325-B08_6_31_31444_32370_F	AG-325-B08	6	31	31444	32370	F	PF03466.19	106.5	4.9e-31	106.2	6e-31
lysR	AG-325-B08_6_36_37172_38050_R	AG-325-B08	6	36	37172	38050	R	PF03466.19	91.9	1.5e-26	91.5	1.9e-26
phnW	AG-325-B08_6_37_38163_39350_F	AG-325-B08	6	37	38163	39350	F	TIGR02326	477.2	6.5e-145	476.9	8e-145
phnA	AG-325-B08_6_38_39374_40618_F	AG-325-B08	6	38	39374	40618	F	TIGR02335	492.1	9.5e-148	492	1.1e-147
phnY	AG-325-B08_6_39_40632_41084_F	AG-325-B08	6	39	40632	41084	F	PF00171.21	71	1.2e-19	70.7	1.4e-19
phnY	AG-325-B13_1_129_109758_111233_F	AG-325-B13	1	129	109758	111233	F	PF00171.21	528	2.8e-158	527.8	3.2e-158
phnY	AG-325-B13_1_130_111239_112672_R	AG-325-B13	1	130	111239	112672	R	PF00171.21	533.3	6.9e-160	533.2	7.7e-160
phnY	AG-325-B13_1_132_114125_115501_F	AG-325-B13	1	132	114125	115501	F	PF00171.21	383.7	1.8e-114	383.5	2e-114
phnW	AG-325-B13_18_16_12505_13602_F	AG-325-B13	18	16	12505	13602	F	TIGR03301	460.7	8.1e-140	460.5	9.1e-140
phnY	AG-325-B13_18_20_16217_17656_R	AG-325-B13	18	20	16217	17656	R	TIGR03250	787	9e-237	786.8	1e-236
phnA	AG-325-B13_18_21_17653_18489_R	AG-325-B13	18	21	17653	18489	R	PF01663.21	41.1	1.3e-10	40.8	1.6e-10
lysR	AG-325-E03_45_2_854_1714_R	AG-325-E03	45	2	854	1714	R	PF03466.19	97.2	3.6e-28	96.9	4.4e-28
phnW	AG-325-E03_45_3_1818_3014_F	AG-325-E03	45	3	1818	3014	F	TIGR02326	473.6	8.1e-144	473.4	9.7e-144
phnA	AG-325-E03_45_4_3027_4271_F	AG-325-E03	45	4	3027	4271	F	TIGR02335	508.9	7.4000000000000005e-153	508.7	9e-153
phnY	AG-325-E03_45_5_4324_5091_F	AG-325-E03	45	5	4324	5091	F	PF00171.21	228.6	1.9e-67	228.3	2.3e-67
phnA	AG-325-E10_2_20_17594_18835_F	AG-325-E10	2	20	17594	18835	F	TIGR02335	464.6	2.2e-139	464.4	2.4e-139
phnY	AG-325-E10_2_21_18847_20274_F	AG-325-E10	2	21	18847	20274	F	TIGR03250	792.9	1.4e-238	792.8	1.6e-238
phnW	AG-325-E10_2_25_23097_24194_R	AG-325-E10	2	25	23097	24194	R	TIGR02326	472.4	1.9e-143	472.1	2.3e-143
phnA	AG-325-P09_4_18_16369_17610_F	AG-325-P09	4	18	16369	17610	F	TIGR02335	465.2	1.4e-139	465.1	1.5e-139
phnY	AG-325-P09_4_19_17610_19049_F	AG-325-P09	4	19	17610	19049	F	TIGR03250	793	1.3e-238	792.8	1.5e-238
phnW	AG-325-P09_4_23_21873_22970_R	AG-325-P09	4	23	21873	22970	R	TIGR02326	468.5	2.9e-142	468.2	3.6e-142
phnW	AG-333-D23_6_16_12617_13714_F	AG-333-D23	6	16	12617	13714	F	TIGR02326	467.8	4.8e-142	467.5	5.9e-142
phnY	AG-333-D23_6_20_16335_17774_R	AG-333-D23	6	20	16335	17774	R	TIGR03250	781.4	4.5e-235	781.2	5.1e-235
phnA	AG-333-D23_6_21_17774_19015_R	AG-333-D23	6	21	17774	19015	R	TIGR02335	471.9	1.3e-141	471.7	1.5e-141
phnW	AG-333-O07_10_22_17694_18791_F	AG-333-O07	10	22	17694	18791	F	TIGR02326	475.7	1.9e-144	475.4	2.3e-144
phnY	AG-333-O07_10_25_20556_21995_R	AG-333-O07	10	25	20556	21995	R	TIGR03250	782.4	2.1e-235	782.3	2.4e-235
phnA	AG-333-O07_10_26_21995_23236_R	AG-333-O07	10	26	21995	23236	R	TIGR02335	471.6	1.6e-141	471.5	1.8e-141
phnA	AG-337-A07_11_13_10332_11573_F	AG-337-A07	11	13	10332	11573	F	TIGR02335	462.6	9.1e-139	462.4	1e-138
phnY	AG-337-A07_11_14_11573_13012_F	AG-337-A07	11	14	11573	13012	F	TIGR03250	792.2	2.4e-238	792	2.7e-238
phnW	AG-337-A07_11_18_15744_16841_R	AG-337-A07	11	18	15744	16841	R	TIGR03301	468.1	4.5e-142	467.9	5.1e-142
phnU2	AG-343-B14_1_12_7924_9627_R	AG-343-B14	1	12	7924	9627	R	TIGR03262	763.4	1.6e-231	763.2	1.9e-231
phnT2	AG-343-B14_1_13_9636_10709_R	AG-343-B14	1	13	9636	10709	R	TIGR03265	487.5	2.8e-148	487.3	3.2e-148
phnS2	AG-343-B14_1_14_10809_11915_F	AG-343-B14	1	14	10809	11915	F	TIGR03261	407.8	4e-124	407.5	4.8e-124
phnW	AG-343-B14_1_17_13476_14579_F	AG-343-B14	1	17	13476	14579	F	TIGR02326	478.3	3e-145	478	3.8e-145
phnY	AG-343-B14_1_24_20840_22279_R	AG-343-B14	1	24	20840	22279	R	TIGR03250	793.2	1.2e-238	793	1.4e-238
phnA	AG-343-B14_1_25_22279_23520_R	AG-343-B14	1	25	22279	23520	R	TIGR02335	468.4	1.5e-140	468.3	1.7e-140
phnA	AG-343-F06_5_5_3288_4529_F	AG-343-F06	5	5	3288	4529	F	TIGR02335	468	2.1e-140	467.8	2.3e-140
phnY	AG-343-F06_5_6_4529_5968_F	AG-343-F06	5	6	4529	5968	F	TIGR03250	792.2	2.4e-238	792	2.8e-238
phnW	AG-343-F06_5_12_11419_12516_R	AG-343-F06	5	12	11419	12516	R	TIGR02326	480	9.2e-146	479.7	1.2e-145
phnS2	AG-343-F06_5_15_14077_15183_R	AG-343-F06	5	15	14077	15183	R	TIGR03261	407.2	6.2e-124	406.9	7.6e-124
phnT2	AG-343-F06_5_16_15283_16356_F	AG-343-F06	5	16	15283	16356	F	TIGR03265	489.9	5.1e-149	489.7	5.8e-149
phnU2	AG-343-F06_5_17_16365_18068_F	AG-343-F06	5	17	16365	18068	F	TIGR03262	763.4	1.7e-231	763.1	2e-231
phnY	AG-343-I21_2_33_33641_35017_F	AG-343-I21	2	33	33641	35017	F	PF00171.21	381.5	8.1e-114	381.3	9e-114
phnY	AG-343-I21_2_38_39087_40520_F	AG-343-I21	2	38	39087	40520	F	PF00171.21	525.6	1.5e-157	525.4	1.7e-157
phnA	AG-343-I21_7_18_13957_15207_F	AG-343-I21	7	18	13957	15207	F	TIGR02335	463.3	5.3e-139	463	6.5e-139
phnY	AG-343-I21_7_19_15204_16643_F	AG-343-I21	7	19	15204	16643	F	TIGR03250	767.7	6.5e-231	767.5	7.4e-231
phnW	AG-343-I21_7_22_18468_19568_R	AG-343-I21	7	22	18468	19568	R	TIGR02326	468.4	3e-142	468.1	3.8e-142
phnU2	AG-343-I21_7_25_21869_23584_R	AG-343-I21	7	25	21869	23584	R	TIGR03262	801.9	3.6e-243	801.7	4.2e-243
phnT2	AG-343-I21_7_26_23593_24654_R	AG-343-I21	7	26	23593	24654	R	TIGR03265	483.9	3.5e-147	483.7	3.9e-147
phnS2	AG-343-I21_7_27_24720_25742_R	AG-343-I21	7	27	24720	25742	R	TIGR03261	518	1.2e-157	517.7	1.4e-157
phnU2	AG-343-L17_5_21_17913_19616_R	AG-343-L17	5	21	17913	19616	R	TIGR03262	768	6.6e-233	767.8	7.7e-233
phnT2	AG-343-L17_5_22_19620_20699_R	AG-343-L17	5	22	19620	20699	R	TIGR03265	496.9	3.8e-151	496.7	4.4e-151
phnS2	AG-343-L17_5_23_20899_21942_F	AG-343-L17	5	23	20899	21942	F	TIGR03261	403.2	9.8e-123	403	1.1e-122
phnW	AG-343-L17_5_26_23500_24600_F	AG-343-L17	5	26	23500	24600	F	TIGR02326	474.5	4.2e-144	474.2	5.4e-144
phnY	AG-343-L17_5_32_29786_31228_R	AG-343-L17	5	32	29786	31228	R	TIGR03250	788.2	3.7e-237	788.1	4.3e-237
phnA	AG-343-L17_5_33_31225_32466_R	AG-343-L17	5	33	31225	32466	R	TIGR02335	463.9	3.5e-139	463.6	4.3e-139
phnY	AG-343-L17_12_21_19801_21189_R	AG-343-L17	12	21	19801	21189	R	PF00171.21	381.3	8.8e-114	381.2	9.8e-114
phnY	AG-343-L17_12_22_21321_22754_F	AG-343-L17	12	22	21321	22754	F	PF00171.21	532	1.7e-159	531.9	1.9e-159
phnY	AG-343-N17_22_3_2187_3566_R	AG-343-N17	22	3	2187	3566	R	PF00171.21	386	3.3e-115	385.9	3.7e-115
phnY	AG-343-N17_22_8_7517_8950_F	AG-343-N17	22	8	7517	8950	F	PF00171.21	533.3	7e-160	533.2	7.8e-160
phnA	AG-343-N17_29_1_3_899_F	AG-343-N17	29	1	3	899	F	PF01663.21	49.1	4.4e-13	48.9	5.4e-13
phnY	AG-343-N17_29_2_899_2338_F	AG-343-N17	29	2	899	2338	F	TIGR03250	776.9	1.1e-233	776.7	1.2e-233
phnW	AG-343-N17_29_4_2996_4090_R	AG-343-N17	29	4	2996	4090	R	TIGR02326	470	1e-142	469.6	1.3e-142
phnU2	AG-343-N17_29_8_7484_9151_R	AG-343-N17	29	8	7484	9151	R	TIGR03262	803.2	1.5e-243	803	1.7e-243
phnT2	AG-343-N17_29_9_9160_10221_R	AG-343-N17	29	9	9160	10221	R	TIGR03265	492.9	6.2e-150	492.8	6.9e-150
lysR	AG-343-P20_17_23_22139_23068_R	AG-343-P20	17	23	22139	23068	R	PF03466.19	120	3.7e-35	119.6	4.9e-35
phnY	AG-343-P20_17_28_28323_29801_F	AG-343-P20	17	28	28323	29801	F	PF00171.21	587	3.7e-176	586.8	4.1e-176
phnY	AG-343-P20_17_37_38608_40056_R	AG-343-P20	17	37	38608	40056	R	TIGR03250	756.7	1.4e-227	756.5	1.6e-227
phnA	AG-343-P20_17_38_40109_41353_R	AG-343-P20	17	38	40109	41353	R	TIGR02335	511.7	1.1e-153	511.4	1.3e-153
phnW	AG-343-P20_17_39_41366_42562_R	AG-343-P20	17	39	41366	42562	R	TIGR02326	477.2	6.7e-145	476.9	8.1e-145
lysR	AG-343-P20_17_40_42667_43527_F	AG-343-P20	17	40	42667	43527	F	PF03466.19	98.8	1.2e-28	98.5	1.4e-28
phnY	AG-343-P20_39_9_7500_8663_R	AG-343-P20	39	9	7500	8663	R	PF00171.21	370.3	1.9e-110	370.1	2.3000000000000001e-110
phnY	AG-343-P20_39_10_8644_9126_R	AG-343-P20	39	10	8644	9126	R	PF00171.21	60.1	2.5e-16	59.9	2.8e-16
phnY	AG-359-L15_26_7_5301_6749_R	AG-359-L15	26	7	5301	6749	R	TIGR03250	772.7	1.9e-232	772.5	2.2e-232
phnA	AG-359-L15_26_9_6910_8148_R	AG-359-L15	26	9	6910	8148	R	TIGR02335	501.3	1.5e-150	501.1	1.7e-150
phnW	AG-359-L15_26_10_8175_9368_R	AG-359-L15	26	10	8175	9368	R	TIGR02326	472	2.5e-143	471.7	3e-143
lysR	AG-359-L15_26_11_9461_10327_F	AG-359-L15	26	11	9461	10327	F	PF03466.19	104.1	2.7e-30	103.7	3.6e-30
phnY	AG-360-F15_4_22_20980_22431_R	AG-360-F15	4	22	20980	22431	R	TIGR03250	760.2	1.2e-228	760	1.3e-228
phnA	AG-360-F15_4_23_22447_23688_R	AG-360-F15	4	23	22447	23688	R	TIGR02335	480.7	2.7e-144	480.4	3.4e-144
phnW	AG-360-F15_4_24_23711_24898_R	AG-360-F15	4	24	23711	24898	R	TIGR02326	471.4	3.9e-143	471.1	4.6e-143
lysR	AG-360-F15_55_3_2649_3551_R	AG-360-F15	55	3	2649	3551	R	PF03466.19	87.4	3.6e-25	87	4.7e-25
phnY	AG-360-F15_55_4_3555_4949_R	AG-360-F15	55	4	3555	4949	R	PF00171.21	519.2	1.4e-155	519	1.5e-155
phnW	AG-365-C05_5_3_1330_2430_R	AG-365-C05	5	3	1330	2430	R	TIGR02326	470.1	9.3e-143	469.8	1.2e-142
phnY	AG-365-C05_5_5_2802_4244_R	AG-365-C05	5	5	2802	4244	R	PF00171.21	482	2.6e-144	481.8	3e-144
phnA	AG-365-C05_5_6_4237_5478_R	AG-365-C05	5	6	4237	5478	R	TIGR02335	494.3	2.1e-148	494	2.6e-148
phnA	AG-365-F10_10_2_310_1551_F	AG-365-F10	10	2	310	1551	F	TIGR02335	495.5	9e-149	495.2	1.1e-148
phnY	AG-365-F10_10_3_1544_2986_F	AG-365-F10	10	3	1544	2986	F	PF00171.21	481.9	2.8e-144	481.7	3.2e-144
phnW	AG-365-F10_10_4_3023_4123_F	AG-365-F10	10	4	3023	4123	F	TIGR02326	473.5	8.7e-144	473.2	1.1e-143
phnS2	AG-365-K11_3_17_13902_14921_F	AG-365-K11	3	17	13902	14921	F	TIGR03261	513.4	3e-156	513.2	3.4e-156
phnT2	AG-365-K11_3_18_14984_16045_F	AG-365-K11	3	18	14984	16045	F	TIGR03265	486.4	6e-148	486.3	6.7e-148
phnU2	AG-365-K11_3_19_16054_17721_F	AG-365-K11	3	19	16054	17721	F	TIGR03262	802	3.4e-243	801.8	4e-243
phnW	AG-365-K11_3_22_20205_21299_F	AG-365-K11	3	22	20205	21299	F	TIGR02326	475	3.1e-144	474.6	3.9e-144
phnY	AG-365-K11_3_24_21957_23396_R	AG-365-K11	3	24	21957	23396	R	TIGR03250	777.3	8e-234	777.1	9.1e-234
phnA	AG-365-K11_3_25_23396_24637_R	AG-365-K11	3	25	23396	24637	R	TIGR02335	473	5.9e-142	472.9	6.6e-142
phnY	AG-390-A10_2_47_46702_48081_R	AG-390-A10	2	47	46702	48081	R	PF00171.21	380.9	1.2e-113	380.8	1.3e-113
phnU2	AG-390-A10_2_49_49490_51514_R	AG-390-A10	2	49	49490	51514	R	TIGR03262	777.5	9.1e-236	773.5	1.4e-234
phnT2	AG-390-A10_2_50_51517_52623_R	AG-390-A10	2	50	51517	52623	R	TIGR03265	519.5	5.2e-158	519.3	6e-158
phnS2	AG-390-A10_2_51_52716_53735_R	AG-390-A10	2	51	52716	53735	R	TIGR03261	504.2	1.9e-153	503.9	2.3e-153
phnY	AG-390-A10_17_5_4087_5535_R	AG-390-A10	17	5	4087	5535	R	TIGR03250	748.1	5.5e-225	748	6.2e-225
phnA	AG-390-A10_17_6_5549_6793_R	AG-390-A10	17	6	5549	6793	R	TIGR02335	488.8	9.6e-147	488.6	1.1e-146
phnW	AG-390-A10_17_7_6823_8010_R	AG-390-A10	17	7	6823	8010	R	TIGR02326	470.2	8.9e-143	469.9	1.1e-142
lysR	AG-390-A10_17_8_8124_9002_F	AG-390-A10	17	8	8124	9002	F	PF03466.19	99.2	8.4e-29	98.9	1.1e-28
lysR	AG-390-A10_17_13_13814_14734_R	AG-390-A10	17	13	13814	14734	R	PF03466.19	108.7	1.1e-31	108.4	1.3e-31
phnY	AG-390-B07_2_22_24244_25623_R	AG-390-B07	2	22	24244	25623	R	PF00171.21	375.9	3.9e-112	375.8	4.4e-112
phnU2	AG-390-B07_2_27_30069_32093_R	AG-390-B07	2	27	30069	32093	R	TIGR03262	780.3	1.2e-236	776.1	2.4e-235
phnT2	AG-390-B07_2_28_32096_33202_R	AG-390-B07	2	28	32096	33202	R	TIGR03265	519.6	4.9e-158	519.4	5.6e-158
phnS2	AG-390-B07_2_29_33295_34314_R	AG-390-B07	2	29	33295	34314	R	TIGR03261	505.4	7.9e-154	505.2	9.5e-154
lysR	AG-390-B07_6_21_22121_23047_F	AG-390-B07	6	21	22121	23047	F	PF03466.19	104.7	1.8e-30	104.4	2.2e-30
lysR	AG-390-B07_6_26_27851_28729_R	AG-390-B07	6	26	27851	28729	R	PF03466.19	91.4	2.1e-26	91.1	2.7e-26
phnW	AG-390-B07_6_27_28842_30029_F	AG-390-B07	6	27	28842	30029	F	TIGR02326	476.3	1.3e-144	476	1.5e-144
phnA	AG-390-B07_6_28_30053_31297_F	AG-390-B07	6	28	30053	31297	F	TIGR02335	491.7	1.3e-147	491.5	1.5e-147
phnY	AG-390-B07_6_29_31311_32759_F	AG-390-B07	6	29	31311	32759	F	TIGR03250	740.4	1.2e-222	740.2	1.4e-222
phnY	AG-390-B14_7_30_30168_31616_R	AG-390-B14	7	30	30168	31616	R	TIGR03250	740.2	1.4e-222	740	1.6e-222
phnA	AG-390-B14_7_31_31630_32874_R	AG-390-B14	7	31	31630	32874	R	TIGR02335	491.6	1.4e-147	491.4	1.5e-147
phnW	AG-390-B14_7_32_32898_34085_R	AG-390-B14	7	32	32898	34085	R	TIGR02326	476	1.5e-144	475.7	1.9e-144
lysR	AG-390-B14_7_33_34198_35076_F	AG-390-B14	7	33	34198	35076	F	PF03466.19	91.6	1.8e-26	91.3	2.3e-26
lysR	AG-390-B14_7_38_39878_40804_R	AG-390-B14	7	38	39878	40804	R	PF03466.19	108.2	1.5e-31	107.9	1.9e-31
phnW	AG-390-C18_6_22_16315_17412_F	AG-390-C18	6	22	16315	17412	F	TIGR02326	471.3	4.2e-143	470.9	5.3e-143
phnY	AG-390-C18_6_26_20004_21443_R	AG-390-C18	6	26	20004	21443	R	TIGR03250	783.2	1.2e-235	783.1	1.4e-235
phnA	AG-390-C18_6_27_21443_22684_R	AG-390-C18	6	27	21443	22684	R	TIGR02335	471	2.4e-141	470.9	2.7e-141
phnY	AG-390-D20_4_27_25302_26750_R	AG-390-D20	4	27	25302	26750	R	TIGR03250	748.9	3.3e-225	748.7	3.7e-225
phnA	AG-390-D20_4_28_26764_28008_R	AG-390-D20	4	28	26764	28008	R	TIGR02335	488.8	9.6e-147	488.6	1.1e-146
phnW	AG-390-D20_4_29_28038_29225_R	AG-390-D20	4	29	28038	29225	R	TIGR02326	470.2	8.9e-143	469.9	1.1e-142
lysR	AG-390-D20_4_30_29339_30217_F	AG-390-D20	4	30	29339	30217	F	PF03466.19	100.6	3.2e-29	100.3	4e-29
lysR	AG-390-D20_4_35_35029_35949_R	AG-390-D20	4	35	35029	35949	R	PF03466.19	110.1	4e-32	109.8	4.9e-32
phnA	AG-390-E23_1_117_104481_105722_F	AG-390-E23	1	117	104481	105722	F	TIGR02335	467.9	2.1e-140	467.8	2.3e-140
phnY	AG-390-E23_1_118_105722_107161_F	AG-390-E23	1	118	105722	107161	F	TIGR03250	782.6	1.9e-235	782.5	2.1e-235
phnW	AG-390-E23_1_122_109742_110845_R	AG-390-E23	1	122	109742	110845	R	TIGR02326	480	9.2e-146	479.7	1.2e-145
phnU2	AG-390-E23_1_124_112329_113996_R	AG-390-E23	1	124	112329	113996	R	TIGR03262	795.7	2.7e-241	795.5	3.1e-241
phnT2	AG-390-E23_1_125_114005_115066_R	AG-390-E23	1	125	114005	115066	R	TIGR03265	484	3.3e-147	483.8	3.7e-147
phnS2	AG-390-E23_1_126_115129_116148_R	AG-390-E23	1	126	115129	116148	R	TIGR03261	510.9	1.7e-155	510.7	2e-155
phnY	AG-390-E23_3_41_42263_43642_R	AG-390-E23	3	41	42263	43642	R	PF00171.21	390.7	1.2e-116	390.6	1.4e-116
phnY	AG-390-E23_3_46_47544_48977_F	AG-390-E23	3	46	47544	48977	F	PF00171.21	529.3	1.1e-158	529.2	1.3e-158
phnY	AG-390-G04_2_80_80913_82292_R	AG-390-G04	2	80	80913	82292	R	PF00171.21	389.4	3.2e-116	389.2	3.6e-116
phnY	AG-390-G04_2_81_82375_83808_F	AG-390-G04	2	81	82375	83808	F	PF00171.21	527.2	4.9e-158	527.1	5.5e-158
phnA	AG-390-G04_6_25_23154_24395_F	AG-390-G04	6	25	23154	24395	F	TIGR02335	473.4	4.6e-142	473.2	5.2e-142
phnY	AG-390-G04_6_26_24395_25834_F	AG-390-G04	6	26	24395	25834	F	TIGR03250	783	1.4e-235	782.8	1.6e-235
phnW	AG-390-G04_6_30_28426_29523_R	AG-390-G04	6	30	28426	29523	R	TIGR02326	471.3	4.2e-143	470.9	5.3e-143
phnY	AG-390-G08_9_22_19276_20724_R	AG-390-G08	9	22	19276	20724	R	TIGR03250	748.4	4.4e-225	748.3	5e-225
phnA	AG-390-G08_9_23_20738_21982_R	AG-390-G08	9	23	20738	21982	R	TIGR02335	491	2.1e-147	490.8	2.4e-147
phnW	AG-390-G08_9_24_22012_23199_R	AG-390-G08	9	24	22012	23199	R	TIGR02326	469.9	1.1e-142	469.6	1.3e-142
lysR	AG-390-G08_9_25_23313_24191_F	AG-390-G08	9	25	23313	24191	F	PF03466.19	97.2	3.6e-28	96.8	4.5e-28
lysR	AG-390-G08_9_30_28997_29923_R	AG-390-G08	9	30	28997	29923	R	PF03466.19	107.3	2.9e-31	107	3.5e-31
phnS2	AG-390-K23_1_29_23706_24764_F	AG-390-K23	1	29	23706	24764	F	TIGR03261	507.2	2.3e-154	507	2.7e-154
phnT2	AG-390-K23_1_30_24826_25887_F	AG-390-K23	1	30	24826	25887	F	TIGR03265	494.1	2.7e-150	493.9	3.1e-150
phnU2	AG-390-K23_1_31_25896_27563_F	AG-390-K23	1	31	25896	27563	F	TIGR03262	802.3	2.8e-243	802.1	3.2e-243
